research_id,response_id,respondent_id,object,original_response,cleaned_response,originality_rater01,utility_rater01
CES201606,1876,46,book,aanbeeld,aanbeeld,4,2
CES201606,1284,29,book,aanmaakblok,aanmaakblok,3,4
CES201606,2117,51,book,aanmaakblokken openhaart,aanmaakblokken open haard,3,4
CES201606,574,17,book,achterstevoren lezen,achterstevoren lezen,2,4
CES201606,1943.2,47,book, afschermen tegen zon,afschermen tegen zon,3,3
CES201606,208,12,book,baksteen,baksteen,4,2
CES201606,2096,50,book,een barricade bouwen op straat,barricade bouwen straat,5,3
CES201606,1868,46,book,beeldschermstandaard,beeldschermstandaard,3,3
CES201606,563,17,book,begraven,begraven,3,2
CES201606,852,20,book,naar beneden gooien,beneden gooien,3,2
CES201606,859,20,book,bibliotheek aanleggen,bibliotheek aanleggen,2,2
CES201606,501,16,book,bijzettafel,bijzettafel,4,4
CES201606,746,19,book,om blaadjes uit te scheuren,blaadjes scheuren,1,4
CES201606,1457,36,book,blz eruit scheuren en collage van maken,bladzijde eruit scheuren collage,2,5
CES201606,2112,51,book,bladzijden eruithalen kaft,bladzijden eruit halen kaft,2,4
CES201606,210,12,book,bloempot,bloempot,5,3
CES201606,432,15,book,je kunt een boek goed rechtop zetten en er achter spieken,boek goed rechtop zetten achter spieken,2,5
CES201606,2092.1,50,book,Een boek neerleggen daarachter twee,boek neerleggen daarachter,3,3
CES201606,1156,26,book,boekwerpen: de sport,boek werpen sport,3,5
CES201606,855.2,20,book, boekenkast van boeken,boekenkast boeken,4,3
CES201606,1866,46,book,boekenlegger,boekenlegger,3,3
CES201606,1154,26,book,gebruiken als boekenplank,boekenplank,3,4
CES201606,1867,46,book,boekenstandaard,boekenstandaard,2,4
CES201606,855.1,20,book,als boekenstandaard aan de muur hangen,boekenstandaard muur hangen,3,4
CES201606,430,15,book,gebruiken als boekensteun,boekensteun,2,4
CES201606,1454,36,book,boekensteun,boekensteun,2,4
CES201606,1602,40,book,boekensteun,boekensteun,2,4
CES201606,1685,43,book,boekensteun,boekensteun,2,4
CES201606,964,23,book,bord,bord,3,3
CES201606,744,19,book,om mee te bouwen (meerdere),bouwen,3,3
CES201606,350,14,book,je kunt het ook gebruiken als bouwsteen,bouwsteen,3,2
CES201606,1562,39,book,als bouwsteen gebruiken,bouwsteen,3,2
CES201606,498,16,book,brandmateriaal,brandmateriaal,2,4
CES201606,1732,44,book,Brandmateriaal,brandmateriaal,2,4
CES201606,1285,29,book,brandstof (open haard),brandstof,2,4
CES201606,2035,49,book,brandstof,brandstof,2,4
CES201606,1686,43,book,brandstof om het vuur mee aan te houden,brandstof vuur houden,2,4
CES201606,741,19,book,om iemand iets bij te brengen/leren,brengen leren,1,5
CES201606,1877,46,book,bureau,bureau,4,3
CES201606,970,23,book,als cadeau verpakking,cadeau verpakking,4,5
CES201606,1350,30,book,cd/dvd s[eler met luisterdvd,cd dvd speler luister dvd,0,0
CES201606,209,12,book,decoratie,decoratie,2,4
CES201606,347,14,book,als decoratie gebruiken (bijv in je boekenkast),decoratie,2,4
CES201606,499,16,book,decoratie,decoratie,2,4
CES201606,653,18,book,als decoratie in de kamer ,decoratie kamer,2,4
CES201606,1995,48,book,decoratie in kast,decoratie kast,2,4
CES201606,1199,27,book,deurstop,deurstop,2,4
CES201606,1525,38,book,deurstopper,deurstopper,2,4
CES201606,1731,44,book,Deurstopper,deurstopper,2,4
CES201606,1869,46,book,deurstopper,deurstopper,2,4
CES201606,1937,47,book,deurstop,deurstopper,2,4
CES201606,2033,49,book,deurstopper,deurstopper,2,4
CES201606,862,20,book,dingen aantonen,dingen aantonen,1,5
CES201606,344,14,book,je kunt er dingen in opschrijven,dingen opschrijven,1,5
CES201606,1458,36,book,domino mee spelen,domino spelen,4,5
CES201606,745,19,book,om doorheen te bladeren ,doorheen bladeren,1,5
CES201606,2095,50,book,dun boek: als vliegenmepper,dun boek vliegenmepper,2,4
CES201606,1342,30,book,ereader,ereader,0,0
CES201606,861,20,book,erin markeren,erin markeren,1,5
CES201606,863,20,book,ernaar verwijzen,ernaar verwijzen,1,5
CES201606,851,20,book,erop staan als opstapje,erop staan opstapje,2,4
CES201606,341,14,book,eruit lezen,eruit lezen,1,5
CES201606,864,20,book,eruit een liedje zingen,eruit liedje zingen,1,5
CES201606,1353,30,book,film,film,2,3
CES201606,750,19,book,als gatdichtstopper,gat dicht stoppen,4,3
CES201606,1688,43,book,gat er in snijden zodat het een geheime opslag wordt,gat snijden zodat geheime opslag,3,5
CES201606,2036,49,book,een geheimvak van knutselen,geheim vak knutselen,3,5
CES201606,654,18,book,om een geheime verstop plek in te maken ,geheime verstop plek,3,5
CES201606,343,14,book,geluid mee maken,geluid,3,3
CES201606,497,16,book,gewicht,gewicht,2,4
CES201606,561,17,book,gooien,gooien,2,4
CES201606,748,19,book,om mee te gooien,gooien,2,4
CES201606,1941.2,47,book, gooien,gooien,2,4
CES201606,1798,45,book,gordijn,gordijn,5,3
CES201606,850,20,book,hard dichtklappen als statement,hard dichtklappen statement,2,4
CES201606,966,23,book,hoed,hoed,4,2
CES201606,1486,37,book,hoed,hoed,4,2
CES201606,2118.2,51,book, van hoed tot kladpapier,hoed kladpapier,4,2
CES201606,742,19,book,als hoedje op je hoofd,hoedje hoofd,4,2
CES201606,2113.2,51,book, in een hoek,hoek,1,3
CES201606,1643,42,book,gebruiken om iets op te hogen,hogen,2,3
CES201606,749,19,book,als hoofdonderlegger,hoofd onderlegger,3,3
CES201606,849,20,book,iemand op het hoofd slaan,hoofd slaan,2,4
CES201606,2114,51,book,op je hoofd tegen de zon,hoofd tegen zon,4,3
CES201606,206,12,book,hoofddeksel,hoofddeksel,4,2
CES201606,571,17,book,een huis van boeken bouwen,huis boeken bouwen,4,3
CES201606,1942,47,book,huis te bouwen voor barbies,huis bouwen barbies,5,4
CES201606,572,17,book,een hut van boeken bouwen,hut boeken bouwen,4,4
CES201606,1564,39,book,inspiratie op te doen,inspiratie,1,5
CES201606,656,18,book,om jezelf te slaan ,jezelf slaan,2,3
CES201606,568,17,book,jongleren,jongleren,4,3
CES201606,2113.1,51,book,een kartonnen plank,kartonnen plank,4,3
CES201606,856,20,book,in de kast zetten,kast zetten,1,5
CES201606,659,18,book,om kasten te vullen ,kasten vullen,1,5
CES201606,1997,48,book,kinderhuisje bouwen,kinderhuisje bouwen,4,4
