research_id,response_id,respondent_id,object,original_response,cleaned_response,originality_rater01,utility_rater01
CES201606,711,19,fork,(om te laten zien wat zilver is),,3,4
CES201606,824,20,fork,aandacht vragen aan tafel voor een speech,aandacht vragen tafel speech,2,5
CES201606,403,15,fork,aandrukken van de randjes van de appelflap,aandrukken randjes appelflap,2,5
CES201606,919,23,fork,aanwijsstok,aanwijsstok,3,4
CES201606,2072.2,51,fork, in de aarde,aarde,2,3
CES201606,1076,25,fork,armbanden/kettingen aan hangen,armbanden kettingen hangen,3,3
CES201606,2025,49,fork,bakje openen,bakje openen,2,3
CES201606,177,12,fork,behangafhaalding,behang afhaal ding,4,4
CES201606,180,12,fork,een bezem,bezem,4,2
CES201606,1184,27,fork,bierflesje openen,bierflesje openen,2,5
CES201606,1759,45,fork,bieropener,bieropener,2,5
CES201606,1546,39,fork,blik open te maken,blik open,2,4
CES201606,1925,47,fork,blik opener,blik opener,2,4
CES201606,1039,24,fork,blikopener,blikopener,2,4
CES201606,1758,45,fork,blikopener,blikopener,2,4
CES201606,395,15,fork,borstel,borstel,2,4
CES201606,1446,37,fork,borstel,borstel,2,4
CES201606,1542,39,fork,bouwen,bouwen,3,3
CES201606,183,12,fork,breistokjes,brei stokjes,3,4
CES201606,1078,25,fork,om mee te breien/haken etc.,breien haken,3,4
CES201606,1665,43,fork,breinaald,breinaald,3,4
CES201606,1838,46,fork,CD rekje,cd rekje,5,4
CES201606,1420,36,fork,chinees eten,chinees eten,1,5
CES201606,1831,46,fork,chirurgisch instrument,chirurgisch instrument,4,3
CES201606,1976,48,fork,darten met vork,darten vork,3,3
CES201606,709,19,fork,als dartpijl,dartpijl,3,3
CES201606,537,17,fork,deeg in stukjes prikken,deeg stukjes prikken,2,5
CES201606,1545,39,fork,dingen leeg te schrapen,dingen leeg schrapen,2,4
CES201606,2070,51,fork,dingen opprikken van straat zodat je handen niet vies worden en je ze in de prullenbak kan gooien,dingen opprikken straat zodat handen niet vies prullenbak gooien,3,4
CES201606,707,19,fork,voor dirigeren,dirigeren,4,4
CES201606,1222,28,fork,iemand mee dood steken,dood steken,2,4
CES201606,474,16,fork,draad uit kleding haal tool,draad kleding haal tool,3,4
CES201606,1666,43,fork,drumstick,drumstick,3,4
CES201606,2053,50,fork,gebruiken als duivelsstaart,duivelsstaart,4,3
CES201606,1830,46,fork,eetgerij,eetgerei,1,5
CES201606,539,17,fork,er een ei op leggen en een race doen,ei leggen race,4,5
CES201606,1760,45,fork,elektriciteit geleiden,elektriciteit geleiden,4,4
CES201606,1620,41,fork,Ergens ' iets uit peuteren ,ergens peuteren,2,5
CES201606,704,19,fork,om ergens in te prikken (afval opruimen),ergens prikken,2,4
CES201606,1629,42,fork,iets ergens tussenuit peuteren ,ergens tussenuit peuteren,2,5
CES201606,301,14,fork,eten,eten,1,5
CES201606,621,18,fork,om mee te eten ,eten,1,5
CES201606,698,19,fork,eten,eten,1,5
CES201606,1223,28,fork,eten,eten,1,5
CES201606,1267,29,fork,eten,eten,1,5
CES201606,1385,35,fork,eten,eten,1,5
CES201606,1540,39,fork,eten,eten,1,5
CES201606,1977,48,fork,eten,eten,1,5
CES201606,402,15,fork,figurenmaker in deeg voor koekjes,figurenmaker deeg koekjes,3,5
CES201606,2056,50,fork,figuurtjes maken als je er inkt erover spuit,figuurtjes inkt erover spuit,4,5
CES201606,921,23,fork,fotohouder,fotohouder,4,3
CES201606,826,20,fork,gaarheid van vlees testen,gaarheid vlees testen,2,5
CES201606,302,14,fork,gaatjes maken,gaatjes,2,5
CES201606,469,16,fork,gaatjesprikker,gaatjes prikken,2,5
CES201606,1512,38,fork,gaatjes mee prikken,gaatjes prikken,2,5
CES201606,1622,41,fork,Gaatjes prikken in van alles,gaatjes prikken,2,5
CES201606,1627,42,fork,Gaatjes prikken ,gaatjes prikken,2,5
CES201606,1722,44,fork,Gaatjes prikken,gaatjes prikken,2,5
CES201606,627,18,fork,gaatjes maken in je quiche deeg ,gaatjes quiche deeg,2,5
CES201606,1926,47,fork,gaten te maken,gaten,2,5
CES201606,1761,45,fork,gekke haar klip voor mensen met afro,gekke haar klip mensen afro,3,5
CES201606,303,14,fork,geluid maken,geluid,3,4
CES201606,1833,46,fork,gereedschap,gereedschap,3,4
CES201606,528,17,fork,gooien,gooien,2,5
CES201606,1509,38,fork,gras mee harken,gras harken,2,4
CES201606,1544,39,fork,graven,graven,2,4
CES201606,1922,47,fork,graven,graven,2,4
CES201606,530,17,fork,in de grond prikken,grond prikken,2,4
CES201606,306,14,fork,je haar mee kammen,haar kammen,2,4
CES201606,1135,26,fork,haar kammen,haar kammen,2,4
CES201606,1628,42,fork,Haar kammen,haar kammen,2,4
CES201606,304,14,fork,om in je haar te doen om je knotje mee vast te houden,haar knotje vast houden,3,5
CES201606,1137,26,fork,als haarsieraad in een knot steken,haar sieraad knot steken,3,5
CES201606,1445,37,fork,haarkruller,haarkruller,4,4
CES201606,702,19,fork,om haartjes van kleding af te halen,haartjes kleding af halen,4,3
CES201606,701,19,fork,om je haren mee te kammen,haren kammen,2,4
CES201606,941,22,fork,haren kammen,haren kammen,2,4
CES201606,1037,24,fork,haren kammen,haren kammen,2,4
CES201606,1618,41,fork,haren kammen,haren kammen,2,4
CES201606,1669,43,fork,haring voor bij de tent,haring tent,4,4
CES201606,243,13,fork,als hark om de tuin mee te harken,hark tuin harken,2,4
CES201606,945,22,fork,harken,harken,2,4
CES201606,1075,25,fork,hefboom/katapult,hefboom katapult,3,4
CES201606,400,15,fork,houder voor je punnikwerkje,houder punnik werkje,4,4
CES201606,943,22,fork,je huid krabben wanneer je jeuk hebt,huid krabben wanneer jeuk hebt,3,4
CES201606,628,18,fork,gebruikenm als hulp middel bij kleien,hulp middel kleien,3,4
CES201606,706,19,fork,als hulpmiddel bij acteren,hulpmiddel acteren,3,4
CES201606,1312,30,fork,ijzeren staafjes,ijzeren staafjes,3,3
CES201606,240,13,fork,een kam,kam,2,4
CES201606,1266,29,fork,kam,kam,2,4
CES201606,1670,43,fork,kam,kam,2,4
CES201606,1840,46,fork,kam,kam,2,4
CES201606,2055,50,fork,als kam gebruiken,kam,2,4
CES201606,1920,47,fork,kam ariel ,kam Ariël,2,4
CES201606,1510,38,fork,een kandelaar van vouwen,kandelaar vouwen,4,3
CES201606,179,12,fork,een kapstok voor barbiekleren,kapstok barbie kleren,4,5
CES201606,1136,26,fork,als kapstok aan de muur bevestigen,kapstok muur bevestigen,4,2
CES201606,622,18,fork,om een katepult mee te maken ,katapult,2,4
CES201606,399,15,fork,katapult voor het schieten van eten,katapult schieten eten,2,4
CES201606,1586,40,fork,kauwgum van de stoep halen,kauwgum stoep halen,3,4
CES201606,1723,44,fork,Iets kerven,kerven,2,5
CES201606,305,14,fork,iets kerven in hout/steen o.i.d.,kerven hout steen,2,5
CES201606,625,18,fork,als ketting maken voor je outpit \,ketting outfit,4,3
CES201606,1313,30,fork,klemtang,klem tang,4,3
CES201606,925,23,fork,klokwijzer,klokwijzer,5,4
CES201606,1619,41,fork,knoop uit elkaar halen ,knoop elkaar halen,4,4
CES201606,1632,42,fork,een knoop eruit halen,knoop eruit halen,4,4
CES201606,2074,51,fork,krabben,krabben,3,4
CES201606,310,14,fork,krabben op je rug,krabben rug,3,5
CES201606,175,12,fork,een krabber,krabber,3,4
CES201606,1225,28,fork,om krassen mee te maken,krassen,3,5
CES201606,1633,42,fork,krassen in een raam maken,krassen raam,3,5
CES201606,1630,42,fork,kriebelen ,kriebelen,3,4
CES201606,1975,48,fork,kunstobject,kunstobject,3,3
