research_id,response_id,respondent_id,object,original_response,cleaned_response,originality_rater02,utility_rater02
CES201606,796,19,tin,aanduiden van een bepaald punt,aanduiden bepaald punt,3,5
CES201606,1965,47,tin,achter auto,achter auto,2,5
CES201606,1062,24,tin,achter een auto binden bij een pas getrouwd stel,achter auto binden pas getrouwd stel,2,5
CES201606,376,14,tin,achter je auto hangen als je gaat trouwen,achter auto hangen gaat trouwen,2,5
CES201606,1611,40,tin,achter de huwelijksauto hangen,achter huwelijksauto hangen,2,5
CES201606,1259,28,tin,afval,afval,2,5
CES201606,610,17,tin,afval ingooien,afval ingooien,2,5
CES201606,1012,23,tin,afvalbak,afvalbak,2,5
CES201606,1963.1,47,tin,afwas,afwas,2,4
CES201606,684,18,tin,het alaminuim gebruiken voor bakjes maken ,aluminium bakjes,2,5
CES201606,1379,30,tin,aluminium folie in eenpuntzakje vouwen,aluminium folie puntzakje vouwen,4,5
CES201606,1534,38,tin,als asbak gebruiken,asbak,2,5
CES201606,1815,45,tin,asbak,asbak,2,5
CES201606,2017,48,tin,auto mee maken,auto,3,3
CES201606,1708,43,tin,auto vouwen,auto vouwen,3,3
CES201606,451,15,tin,autootje,autootje,3,3
CES201606,1715,43,tin,bakje,bakje,2,5
CES201606,280,13,tin,bakje om dingen in te bewaren,bakje dingen bewaren,2,5
CES201606,1121,25,tin,bal,bal,3,4
CES201606,2149,51,tin,gebruiken als bal voor spelletjes zoals voetbal,bal spelletjes zoals voetbal,3,4
CES201606,606,17,tin,met een bal tegen een stapel blikken gooien,bal tegen stapel blikken gooien,2,5
CES201606,600,17,tin,begraven,begraven,2,5
CES201606,454,15,tin,behang (als je er maar gneoeg naast elkaar plakt),behang,4,3
CES201606,609,17,tin,er een bekerhouder van maken,bekerhouder,3,4
CES201606,1173,26,tin,mee bellen,bellen,2,5
CES201606,1904,46,tin,benzinetank,benzinetank,4,3
CES201606,1963.3,47,tin, voor bestek,bestek,2,3
CES201606,1172,26,tin,een bierblikje? of voedselconserven?,bierblikje voedselconserven,0,0
