AUT-response_id,participant_fk,stimulus_fk,starttime,endtime,response,toptwo,response_EN_translated,response_EN_corrected
29,1,8,0,0,geluidsversterker,NULL,sound amplifier,sound amplifier
30,1,8,0,0,huisdier,NULL,pet,pet
31,1,8,0,0,pennenhouder,NULL,penholder,Pen holder
32,1,8,0,0,om mee te gooien,NULL,to throw,to throw
68,7,8,1464597939012,1464597957135,vijl,1,file,file
69,7,8,1464597957135,1464597965375,drukpers,1,printing press,printing press
70,7,8,1464597965375,1464597982254,om in te breken,NULL,to break in,to break in
71,7,8,1464597982254,1464598043271,iemands hand breken,NULL,break someone's hand,break someone's hand
72,7,8,1464598043271,1464598051912,een revolutie beginnen,NULL,start a revolution,start a revolution
97,8,8,1464598872511,1464598874861,blikje 1,1,can 1,can 1
98,8,8,1464598874861,1464598876651,blikje 2,1,can 2,can 2
99,8,8,1464598876651,1464598878908,blikje 3,NULL,can 3,can 3
100,8,8,1464598878908,1464598880882,blikje 4,NULL,can 4,can 4
118,9,8,1464598999753,1464599002467,blikje,NULL,can of,can of
119,9,8,1464599002467,1464599005384,blikje2,1,can2,can2
120,9,8,1464599005384,1464599008892,blikj3,1,canj3,canj3
163,11,8,1464608915897,1464608926955,Met de lipjes kan je een drankspel spelen,1,With the tabs you can play a drinking game,With the tabs you can play a drinking game
164,11,8,1464608926955,1464608942011,"Met het blik zelf kan je een mes maken, mocht je een kapotte hebben",1,"With the can itself you can make a knife, should you have a broken one","With the can itself you can make a knife, should you have a broken one"
165,11,8,1464608942011,1464608964907,In een blikje kan je dingen bewaren (maar dat is ook wel een beetje z'n oorspronkelijke toepassing),NULL,In a can you can store things (but that's also kind of its original use),In a can you can store things (but that's also kind of its original use)
166,11,8,1464608964907,1464608985388,Je kan er een gewicht van maken door het te vullen met aarde.,NULL,You can make it a weight by filling it with soil.,You can make it a weight by filling it with soil.
167,11,8,1464608985388,1464608994181,(zodat iets niet wegwaait),NULL,(so that something doesn't blow away),(so that something doesn't blow away)
229,12,8,1464696219539,1464696232872,tandenborstel houder,NULL,toothbrush holder,toothbrush holder
230,12,8,1464696232872,1464696277761,een kauwgum bakje,1,a chewing gum tray,a chewing gum tray
231,12,8,1464696277761,1464696279883,een vaasjr,NULL,a vasejr,a vase
232,12,8,1464696279883,1464696286692,een wapen,NULL,a weapon,a weapon
233,12,8,1464696286692,1464696336923,raketmotor,1,rocket motor,rocket motor
276,13,8,1464697212194,1464697220725,pennendoos,NULL,pen box,pen box
277,13,8,1464697220725,1464697227266,tandeborstel houder,NULL,toothbrush holder,toothbrush holder
278,13,8,1464697227266,1464697230050,bloempot,NULL,flowerpot,flowerpot
279,13,8,1464697230050,1464697233225,glas,NULL,glass,glass
280,13,8,1464697233225,1464697242652,bakje om dingen in te bewaren,NULL,container to keep things in,container to keep things in
281,13,8,1464697242652,1464697252783,een telefoon,1,a phone,a phone
282,13,8,1464697252783,1464697278647,als je er gaatjes in prikt kan je het als douchekop gebruiken,1,if you poke holes in it you can use it as a shower head,if you poke holes in it you can use it as a shower head
283,13,8,1464697278647,1464697283868,als wapen,NULL,as a weapon,as a weapon
284,13,8,1464697283868,1464697317977,het raam open houden,NULL,keep the window open,keep the window open
375,14,8,1464780210932,1464780215077,iets uit drinken,NULL,draught sth.,to drink from
376,14,8,1464780215077,1464780222340,achter je auto hangen als je gaat trouwen,NULL,hang behind your car when you get married,hang behind your car when you get married
377,14,8,1464780222340,1464780234867,"gebruiken als telefoon (je weet wel, met zo'n touwtje er tussen) ",NULL,"Use as a phone (you know, with one of those strings in between) ","Use as a phone (you know, with one of those strings in between) "
378,14,8,1464780234867,1464780239989,muziek mee maken/geluid maken,NULL,make music/sound with it,make music/sound with it
379,14,8,1464780239989,1464780246991,tegen iemands hoofd aan gooien (wapen),NULL,throwing against someone's head (weapon),throwing against someone's head (weapon)
380,14,8,1464780246991,1464780254963,gebruiken in een kunstwerk ,NULL,use in a work of art ,use in a work of art 
381,14,8,1464780254963,1464780263599,gebruiken als sieradendoosje,NULL,use as jewelry box,use as jewelry box
382,14,8,1464780263599,1464780274274,platstampen en gebruiken bij ijshockey ,1,crush and use in ice hockey ,crush and use in ice hockey 
383,14,8,1464780274274,1464780294153,het labeltje eraf halen en daar een oorbel van maken,NULL,take off the label and make an earring out of it,take off the label and make an earring out of it
384,14,8,1464780294153,1464780304061,het labeltje gebruiken en daar iets mee snijden (want het is scherp),NULL,use the label and cut something with it (because it is sharp),use the label and cut something with it (because it is sharp)
385,14,8,1464780304061,1464780311637,als opvanger voor de regen als het lekt,NULL,as a catch for the rain when it leaks,as a catch for the rain when it leaks
386,14,8,1464780311637,1464780315487,als vaasje,NULL,as a vase,as a vase
387,14,8,1464780315487,1464780324355,als kaarsenhouder,1,as a candle holder,as a candle holder
450,15,8,1464785545037,1464785553181,spiegel,NULL,mirror,mirror
451,15,8,1464785553181,1464785558498,autootje,NULL,car,car
452,15,8,1464785558498,1464785560159,speelgoed,NULL,toys,toys
453,15,8,1464785560159,1464785566713,sieraad,NULL,jewelry,jewelry
454,15,8,1464785567043,1464785586326,behang (als je er maar gneoeg naast elkaar plakt),NULL,wallpaper (as long as you stick enough next to each other),wallpaper (as long as you stick enough next to each other)
455,15,8,1464785586326,1464785604360,gooimateriaal,NULL,throwing equipment,throwing equipment
456,15,8,1464785604360,1464785609286,mes,1,knife,knife
457,15,8,1464785609286,1464785625841,sleutelhanger (met het klipje van het blikje),NULL,key ring (with the clip from the can),key ring (with the clip from the can)
458,15,8,1464785625841,1464785639669,rammelaar (klipje in blikje),NULL,rattle (clip in tin),rattle (clip in tin)
459,15,8,1464785639669,1464785651347,kunst,1,art,art
460,15,8,1464785651347,1464785660023,denk aan andy warhole,NULL,think andy warhole,Remember andy warhole
513,16,8,1464787953975,1464787957859,kunst,1,art,art
514,16,8,1464787957859,1464787971331,speelgoed,NULL,toys,toys
515,16,8,1464787971331,1464787983298,onderzetter,1,coaster,coaster
516,16,8,1464787983298,1464788040182,ketting,NULL,chain,chain
517,16,8,1464788040182,1464788041430,slingers,NULL,garlands,garlands
596,17,8,1464797135140,1464797144112,een draadtelefoon maken,1,make a wired phone,make a wired phone
597,17,8,1464797144112,1464797148912,het vertrappen,NULL,trampling,trampling
598,17,8,1464797148912,1464797151808,gooien,NULL,throw,throw
599,17,8,1464797151808,1464797152552,vangen,NULL,catch,catch
