id,response,response_nofill,item,item_nofill,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,SemDis_factor
5,lever,lever,fork,fork,0.7790900000000001,0.78157,0.8183400000000001,0.99726,0.81346,0.83794,-0.11353
6,murder weapon,murder weapon,fork,fork,0.9727,0.9335100000000001,1.05781,1.03937,1.07939,1.01656,0.10458
7,bath toy,bath toy,fork,fork,1.02715,1.0069,1.01024,1.02171,1.00368,1.01394,0.08228
8,make fire with it,make fire,fork,fork,1.00647,1.01917,0.97307,0.87331,1.04546,0.9835,0.06567
38,file,file,fork,fork,0.9686,0.97541,0.88379,1.01245,0.9194,0.95193,-0.00254
39,printing press,printing press,fork,fork,1.01229,0.96252,0.9867900000000001,0.96737,0.95391,0.97658,0.04619
40,to break in,break,fork,fork,0.85565,0.95527,0.98094,1.02136,0.85992,0.93463,-0.00197
41,break someone's hand,break someone hand,fork,fork,0.8078,0.96596,0.85033,0.96738,0.92917,0.90413,-0.04141
42,start a revolution,start revolution,fork,fork,0.97149,0.93233,0.98531,0.9807,1.00259,0.97448,0.0503
77,fork 1,fork,fork,fork,0,0,0,0,0,0,-0.96246
78,fork 2,fork,fork,fork,0,0,0,0,0,0,-0.96246
79,fork 3,fork,fork,fork,0,0,0,0,0,0,-0.96246
80,fork 4,fork,fork,fork,0,0,0,0,0,0,-0.96246
103,comb,comb,fork,fork,0.74744,0.827,0.7822,0.95494,0.83424,0.82916,-0.12319
104,hair comb,hair comb,fork,fork,0.98897,0.96334,1.06262,0.98669,1.0691,1.01414,0.10536
105,stitching agent,stitching agent,fork,fork,1.12003,0.94239,1.03354,1.00351,1.02334,1.02456,0.09958
127,As cable tray,as cable tray,fork,fork,0.92619,0.99698,0.9166300000000001,1.0777,0.96968,0.97744,0.02647
128,If your fork is very sturdy you can use it as a herring,if fork sturdy can use herring,fork,fork,0.76329,1.02069,1.03186,1.0950199999999999,1.05704,0.99358,0.0748
129,Or to hold other wires in a position with,or hold wires position,fork,fork,1.05849,0.96283,1.0486,1.00294,1.03246,1.02106,0.10147
130,You can injure someone with a fork seems laborious to me,you can injure someone fork seems laborious,fork,fork,1.02821,0.93914,1.05006,0.97014,1.01774,1.00106,0.0871
131,Or scratch your name into a wall,or scratch name wall,fork,fork,0.97235,0.90788,1.03223,1.01023,1.02988,0.99051,0.07481
132,If you bend it by heating it you can make a bracelet out of it,if bend heating can make bracelet,fork,fork,1.10958,1.07769,1.01208,1.02065,1.07074,1.05815,0.124
173,a knife,knife,fork,fork,0.52347,0.50566,0.6801699999999999,0.74943,0.66998,0.62574,-0.30432
174,a spoon,spoon,fork,fork,0.61051,0.47333000000000003,0.67343,0.57769,0.5614600000000001,0.57928,-0.34449
175,a scraper,scraper,fork,fork,0.6669700000000001,0.69077,0.7123900000000001,0.94598,0.79843,0.76291,-0.19117
176,a screwdriver,screwdriver,fork,fork,0.70611,0.7438,0.75818,0.92845,0.75295,0.7779,-0.1753
177,wallpaper pickup,wallpaper pickup,fork,fork,1.00318,1.02379,0.9634199999999999,0.95441,0.95105,0.97917,0.04279
178,a stabbing weapon,stabbing weapon,fork,fork,0.9676400000000001,1.0003,1.09173,0.86416,1.10295,1.00536,0.11686
179,a coat rack for barbie clothes,coat rack barbie clothes,fork,fork,1.05819,1.00699,0.90955,0.93996,1.02077,0.98709,0.04695
180,a broom,broom,fork,fork,0.79194,0.76125,0.82375,0.98186,0.80099,0.83196,-0.11737
181,a toothbrush,toothbrush,fork,fork,0.8155,0.6724399999999999,0.87526,1.03451,0.85073,0.84969,-0.08843
182,a hole punch,hole punch,fork,fork,1.00975,0.97884,0.93822,0.9154,0.95701,0.95984,0.02627
183,knitting sticks,knitting sticks,fork,fork,1.01225,1.0306,1.06368,1.01713,1.02142,1.02902,0.1079
240,a comb,comb,fork,fork,0.74744,0.827,0.7822,0.95494,0.83424,0.82916,-0.12319
241,you can bend a fork and screw it to the wall and then hang a hanging plant from it,can bend fork screw wall hang hanging plant,fork,fork,1.13744,1.05195,1.01184,1.14263,0.93702,1.05618,0.09751
242,you can bend the tines of a fork so that it becomes a stand for name tags at a table,can bend tines fork becomes stand name tags table,fork,fork,1.01132,1.02436,0.88351,1.03307,1.0284,0.99613,0.04323
243,as a rake for raking the garden,rake raking garden,fork,fork,0.75856,1.0967500000000001,0.8639,1.0783,0.95665,0.95083,-0.0076
