id,item,response
5,fork,lever
6,fork,murder weapon
7,fork,bath toy
8,fork,make fire with it
38,fork,file
39,fork,printing press
40,fork,to break in
41,fork,break someone's hand
42,fork,start a revolution
77,fork,fork 1
78,fork,fork 2
79,fork,fork 3
80,fork,fork 4
103,fork,comb
104,fork,hair comb
105,fork,stitching agent
127,fork,As cable tray
128,fork,If your fork is very sturdy you can use it as a herring
129,fork,Or to hold other wires in a position with
130,fork,You can injure someone with a fork (seems laborious to me)
131,fork,Or scratch your name into a wall
132,fork,If you bend it by heating it you can make a bracelet out of it
173,fork,a knife
174,fork,a spoon
175,fork,a scraper
176,fork,a screwdriver
177,fork,wallpaper pickup
178,fork,a stabbing weapon
179,fork,a coat rack for barbie clothes
180,fork,a broom
181,fork,a toothbrush
182,fork,a hole punch
183,fork,knitting sticks
240,fork,a comb
241,fork,you can bend a fork and screw it to the wall and then hang a hanging plant from it
242,fork,you can bend the tines of a fork so that it becomes a stand for name tags at a table
243,fork,as a rake for raking the garden
244,fork,as the key 
245,fork,you can hold the window open with a fork so it doesn't blow shut 
246,fork,weapon
301,fork,food
302,fork,bob
303,fork,make noise
304,fork,To put in your hair to hold your bun
305,fork,carve something in wood/stone or the like.
306,fork,comb your hair
307,fork,rifle
308,fork,cutting (instead of a knife)
309,fork,as a toothpick
310,fork,scratching your back
311,fork,get dirt from under your nails
395,fork,brush
396,fork,weed whacker
397,fork,back scraper
398,fork,stick for garbage
399,fork,catapult for shooting food
400,fork,holder for your punk work
401,fork,paper puncture
402,fork,figure maker in dough for cookies
403,fork,pressing the edges of the apple turnovers
468,fork,weapon
469,fork,hole puncher
470,fork,standard
471,fork,scoop
472,fork,gardening tools
473,fork,mixer
474,fork,thread from clothing retrieval tool
528,fork,throw
529,fork,catch
530,fork,pick in the ground
531,fork,eat soup
532,fork,eat candy
533,fork,Lois pricks
534,fork,redirect
535,fork,straighten
536,fork,meat cutting
537,fork,prick dough into pieces
538,fork,line up
539,fork,put an egg on it and do a race
540,fork,stir
621,fork,to eat with 
622,fork,To make a catapult with 
623,fork,to make a work of art 
624,fork,to eat soup 
625,fork,as a necklace make for your outfit.
626,fork,poke eyes out
627,fork,making holes in your quiche dough 
628,fork,use as an aid to clay with
698,fork,food
699,fork,to stir
700,fork,to play with
701,fork,to comb your hair with
702,fork,to remove hairs from clothing
703,fork,to get something out of the mud
704,fork,To poke around in something (clean up trash)
705,fork,as a mirror
706,fork,as a tool for acting
707,fork,for conducting
708,fork,to point out something
709,fork,as a dart
710,fork,as a silver object
711,fork,(to show what silver is)
819,fork,pricking of food
820,fork,jab someone with it
821,fork,"turn around, Uri geller-like"
822,fork,take out the two middle bars and use as a fork for chocolates
823,fork,make music
824,fork,Drawing attention at the table to a speech
825,fork,you can pick up something with it
826,fork,test if cooked meat is done
917,fork,drawing in sand
