"","research_id","gpt3_id","temperature","respondent_id","response_id","exp_condition","object","response"
"1","GPT3202208","cmpl-5kwPhu78O2gzaQVpMQ0C6t1LLcznX",0.6,202208001,2022080002,1,"book","doorstop"
"2","GPT3202208","cmpl-5kwPhu78O2gzaQVpMQ0C6t1LLcznX",0.6,202208001,2022080003,1,"book","level table"
"3","GPT3202208","cmpl-5kwPhu78O2gzaQVpMQ0C6t1LLcznX",0.6,202208001,2022080004,1,"book","paperweight"
"4","GPT3202208","cmpl-5kwPhu78O2gzaQVpMQ0C6t1LLcznX",0.6,202208001,2022080005,1,"book","help start fire"
"5","GPT3202208","cmpl-5kwPhu78O2gzaQVpMQ0C6t1LLcznX",0.6,202208001,2022080006,1,"book","ripped up d kindling for fire"
"6","GPT3202208","cmpl-5kwPhu78O2gzaQVpMQ0C6t1LLcznX",0.6,202208001,2022080007,1,"book","given gift"
"7","GPT3202208","cmpl-5kwPlJz19pEFCKj4u8uKbe2PvvXWf",0.6,202208002,2022080009,2,"book","read it"
"8","GPT3202208","cmpl-5kwPlJz19pEFCKj4u8uKbe2PvvXWf",0.6,202208002,2022080010,2,"book","doorstop"
"9","GPT3202208","cmpl-5kwPlJz19pEFCKj4u8uKbe2PvvXWf",0.6,202208002,2022080011,2,"book","prop up table"
"10","GPT3202208","cmpl-5kwPlJz19pEFCKj4u8uKbe2PvvXWf",0.6,202208002,2022080012,2,"book","in place of cutting board"
"11","GPT3202208","cmpl-5kwPlJz19pEFCKj4u8uKbe2PvvXWf",0.6,202208002,2022080013,2,"book","bookend"
"12","GPT3202208","cmpl-5kwPnlrFKHF6jHmwtR53XvIHHEmW1",0.6,202208003,2022080015,3,"book","paperweight keep papers from flying away"
"13","GPT3202208","cmpl-5kwPnlrFKHF6jHmwtR53XvIHHEmW1",0.6,202208003,2022080016,3,"book","coaster for your drink so it doesn't leave water ring on the table"
"14","GPT3202208","cmpl-5kwPnlrFKHF6jHmwtR53XvIHHEmW1",0.6,202208003,2022080017,3,"book","level out wobbly table or chair"
"15","GPT3202208","cmpl-5kwPnlrFKHF6jHmwtR53XvIHHEmW1",0.6,202208003,2022080018,3,"book","doorstop"
"16","GPT3202208","cmpl-5kwPqv9E0gQBeMkkLWiz2EmAQilPH",0.6,202208004,2022080020,4,"book","paperweight hold down papers or other objects"
"17","GPT3202208","cmpl-5kwPqv9E0gQBeMkkLWiz2EmAQilPH",0.6,202208004,2022080021,4,"book","doorstop keep door open"
"18","GPT3202208","cmpl-5kwPqv9E0gQBeMkkLWiz2EmAQilPH",0.6,202208004,2022080022,4,"book","coaster for drinks"
"19","GPT3202208","cmpl-5kwPqv9E0gQBeMkkLWiz2EmAQilPH",0.6,202208004,2022080023,4,"book","prop up computer screen"
"20","GPT3202208","cmpl-5kwPqv9E0gQBeMkkLWiz2EmAQilPH",0.6,202208004,2022080024,4,"book","decoration on shelf or table"
"21","GPT3202208","cmpl-5kwPuIencVraOk7H7ZJMAVM2Q7gIJ",0.6,202208005,2022080026,5,"book","doorstop"
"22","GPT3202208","cmpl-5kwPuIencVraOk7H7ZJMAVM2Q7gIJ",0.6,202208005,2022080027,5,"book","help level table or shelf"
"23","GPT3202208","cmpl-5kwPuIencVraOk7H7ZJMAVM2Q7gIJ",0.6,202208005,2022080028,5,"book","paperweight"
"24","GPT3202208","cmpl-5kwPuIencVraOk7H7ZJMAVM2Q7gIJ",0.6,202208005,2022080029,5,"book","stacked d makeshift stool or chair"
"25","GPT3202208","cmpl-5kwPuIencVraOk7H7ZJMAVM2Q7gIJ",0.6,202208005,2022080030,5,"book","propped open d f"
"26","GPT3202208","cmpl-5kwPyM9Z2klC9O76V8i6K4XgaRk6v",0.6,202208006,2022080032,1,"fork","apply makeup"
"27","GPT3202208","cmpl-5kwPyM9Z2klC9O76V8i6K4XgaRk6v",0.6,202208006,2022080033,1,"fork","back scratcher"
"28","GPT3202208","cmpl-5kwPyM9Z2klC9O76V8i6K4XgaRk6v",0.6,202208006,2022080034,1,"fork","open door knob"
"29","GPT3202208","cmpl-5kwPyM9Z2klC9O76V8i6K4XgaRk6v",0.6,202208006,2022080035,1,"fork","Stick forks in the ground garden markers"
"30","GPT3202208","cmpl-5kwPyM9Z2klC9O76V8i6K4XgaRk6v",0.6,202208006,2022080036,1,"fork","different sized forks cdle holders"
"31","GPT3202208","cmpl-5kwPyM9Z2klC9O76V8i6K4XgaRk6v",0.6,202208006,2022080037,1,"fork","Hg forks on the wall decorative pieces"
"32","GPT3202208","cmpl-5kwPyM9Z2klC9O76V8i6K4XgaRk6v",0.6,202208006,2022080038,1,"fork","wind chimes out of forks"
"33","GPT3202208","cmpl-5kwQ1kyUKdYsEQnU1ZXXc8kvcNOjg",0.6,202208007,2022080040,2,"fork","back scratcher"
"34","GPT3202208","cmpl-5kwQ1kyUKdYsEQnU1ZXXc8kvcNOjg",0.6,202208007,2022080041,2,"fork","Stick it in between the slats of blind hold the blind open"
"35","GPT3202208","cmpl-5kwQ1kyUKdYsEQnU1ZXXc8kvcNOjg",0.6,202208007,2022080042,2,"fork","play the xylophone"
"36","GPT3202208","cmpl-5kwQ3noNvNRcA0ZCdo8MEC5olQQOe",0.6,202208008,2022080044,3,"fork","patterns in the sd"
"37","GPT3202208","cmpl-5kwQ3noNvNRcA0ZCdo8MEC5olQQOe",0.6,202208008,2022080045,3,"fork","Hg fork on the wall part of sculpture or art piece"
"38","GPT3202208","cmpl-5kwQ3noNvNRcA0ZCdo8MEC5olQQOe",0.6,202208008,2022080046,3,"fork","gardening tool help aerate soil"
"39","GPT3202208","cmpl-5kwQ3noNvNRcA0ZCdo8MEC5olQQOe",0.6,202208008,2022080047,3,"fork","Bend fork inshape d bookmark"
"40","GPT3202208","cmpl-5kwQ3noNvNRcA0ZCdo8MEC5olQQOe",0.6,202208008,2022080048,3,"fork","Wrap wire around fork makeshift tenna"
"41","GPT3202208","cmpl-5kwQ7dCjOOQ1W1vJc1oAnObcP93LB",0.6,202208009,2022080050,4,"fork","Digging in the sd or dirt"
"42","GPT3202208","cmpl-5kwQ7dCjOOQ1W1vJc1oAnObcP93LB",0.6,202208009,2022080051,4,"fork","Picking up small objects"
"43","GPT3202208","cmpl-5kwQ7dCjOOQ1W1vJc1oAnObcP93LB",0.6,202208009,2022080052,4,"fork","Making design in piece of soap"
"44","GPT3202208","cmpl-5kwQ7dCjOOQ1W1vJc1oAnObcP93LB",0.6,202208009,2022080053,4,"fork","Scraping paint off surface"
"45","GPT3202208","cmpl-5kwQ7dCjOOQ1W1vJc1oAnObcP93LB",0.6,202208009,2022080054,4,"fork","Hging picture on the wall"
"46","GPT3202208","cmpl-5kwQ7dCjOOQ1W1vJc1oAnObcP93LB",0.6,202208009,2022080055,4,"fork","Mixing ingredients together"
"47","GPT3202208","cmpl-5kwQ7dCjOOQ1W1vJc1oAnObcP93LB",0.6,202208009,2022080056,4,"fork","Measuring ingredients"
"48","GPT3202208","cmpl-5kwQ7dCjOOQ1W1vJc1oAnObcP93LB",0.6,202208009,2022080057,4,"fork","Serving food"
"49","GPT3202208","cmpl-5kwQAS8xejMRzG7uTCVLnQVgIXLoC",0.6,202208010,2022080059,5,"fork","hairpin"
"50","GPT3202208","cmpl-5kwQAS8xejMRzG7uTCVLnQVgIXLoC",0.6,202208010,2022080060,5,"fork","Stick it in potted plt makeshift trellis for vines"
"51","GPT3202208","cmpl-5kwQAS8xejMRzG7uTCVLnQVgIXLoC",0.6,202208010,2022080061,5,"fork","miniature grappling hook"
"52","GPT3202208","cmpl-5kwQAS8xejMRzG7uTCVLnQVgIXLoC",0.6,202208010,2022080062,5,"fork","eat food off of sharp surfaces without cutting yourself"
"53","GPT3202208","cmpl-5kwQC5dUlKpTltkMJKOYn20mCWPoK",0.6,202208011,2022080064,1,"tin can","vase for flowers"
"54","GPT3202208","cmpl-5kwQC5dUlKpTltkMJKOYn20mCWPoK",0.6,202208011,2022080065,1,"tin can","bird feeder"
"55","GPT3202208","cmpl-5kwQC5dUlKpTltkMJKOYn20mCWPoK",0.6,202208011,2022080066,1,"tin can","plter for small plts or herbs"
"56","GPT3202208","cmpl-5kwQC5dUlKpTltkMJKOYn20mCWPoK",0.6,202208011,2022080067,1,"tin can","hold pens d pencils on desk"
"57","GPT3202208","cmpl-5kwQC5dUlKpTltkMJKOYn20mCWPoK",0.6,202208011,2022080068,1,"tin can","painted d decorative piece in room."
"58","GPT3202208","cmpl-5kwQGAX1QHkDx0QO5kDh9LnpKqX4X",0.6,202208012,2022080071,2,"tin can","cdle holder"
"59","GPT3202208","cmpl-5kwQGAX1QHkDx0QO5kDh9LnpKqX4X",0.6,202208012,2022080072,2,"tin can","miniature greenho"
"60","GPT3202208","cmpl-5kwQGAX1QHkDx0QO5kDh9LnpKqX4X",0.6,202208012,2022080073,2,"tin can","plter"
"61","GPT3202208","cmpl-5kwQGAX1QHkDx0QO5kDh9LnpKqX4X",0.6,202208012,2022080074,2,"tin can","bird feeder"
"62","GPT3202208","cmpl-5kwQGAX1QHkDx0QO5kDh9LnpKqX4X",0.6,202208012,2022080075,2,"tin can","wind chime"
"63","GPT3202208","cmpl-5kwQJz0j5PBoQ5LqFFS1X2M2V1twC",0.6,202208013,2022080077,3,"tin can","cdle holder"
"64","GPT3202208","cmpl-5kwQJz0j5PBoQ5LqFFS1X2M2V1twC",0.6,202208013,2022080078,3,"tin can","miniature windmill"
"65","GPT3202208","cmpl-5kwQJz0j5PBoQ5LqFFS1X2M2V1twC",0.6,202208013,2022080079,3,"tin can","bird feeder."
"66","GPT3202208","cmpl-5kwQJz0j5PBoQ5LqFFS1X2M2V1twC",0.6,202208013,2022080080,3,"tin can","picture frame."
"67","GPT3202208","cmpl-5kwQJz0j5PBoQ5LqFFS1X2M2V1twC",0.6,202208013,2022080081,3,"tin can","vase for flowers or other plts"
"68","GPT3202208","cmpl-5kwQNH2igxjsKHxyVjwKiIt00S8of",0.6,202208014,2022080083,4,"tin can","plter for small plts or herbs"
"69","GPT3202208","cmpl-5kwQNH2igxjsKHxyVjwKiIt00S8of",0.6,202208014,2022080084,4,"tin can","fun d festive vase for flowers or other decorations"
"70","GPT3202208","cmpl-5kwQNH2igxjsKHxyVjwKiIt00S8of",0.6,202208014,2022080085,4,"tin can","unique wind chime by hging different sizes d shapes of tin cs from string or rod"
"71","GPT3202208","cmpl-5kwQNH2igxjsKHxyVjwKiIt00S8of",0.6,202208014,2022080086,4,"tin can","your own mini-fire pit by filling large tin c with sd d placing small stones or rocks around it contain the fire"
"72","GPT3202208","cmpl-5kwQNH2igxjsKHxyVjwKiIt00S8of",0.6,202208014,2022080087,4,"tin can","smaller tin cs hold spices in your kitchen or create cute little gift boxes filled with treats like cdies or cookies"
"73","GPT3202208","cmpl-5kwQThMRuPmnzhAawBmQ6TIX1yppy",0.6,202208015,2022080089,5,"tin can","Bird feeder"
"74","GPT3202208","cmpl-5kwQThMRuPmnzhAawBmQ6TIX1yppy",0.6,202208015,2022080090,5,"tin can","Cdle holder"
"75","GPT3202208","cmpl-5kwQThMRuPmnzhAawBmQ6TIX1yppy",0.6,202208015,2022080091,5,"tin can","Flower pot"
