"user_id","participantnr","AUT-response_id","object","response"
"3314","prolific_participantid_5422cca4fdf99b328c91b21b","47511","fork","As a comb"
"3314","prolific_participantid_5422cca4fdf99b328c91b21b","47512","fork","To decorate pottery"
"3314","prolific_participantid_5422cca4fdf99b328c91b21b","47513","fork","Body scratcher"
"3314","prolific_participantid_5422cca4fdf99b328c91b21b","47514","fork","Shoehorn"
"3314","prolific_participantid_5422cca4fdf99b328c91b21b","47515","fork","Sandcastle flag"
"3314","prolific_participantid_5422cca4fdf99b328c91b21b","47516","fork","Mini trowel/ garden fork"
"3314","prolific_participantid_5422cca4fdf99b328c91b21b","48276","book","Building block"
"3314","prolific_participantid_5422cca4fdf99b328c91b21b","48277","book","Fan"
"3314","prolific_participantid_5422cca4fdf99b328c91b21b","48278","book","Decoration"
"3314","prolific_participantid_5422cca4fdf99b328c91b21b","48279","book","Fly swatter"
"3314","prolific_participantid_5422cca4fdf99b328c91b21b","48280","book","Door wedge"
"3314","prolific_participantid_5422cca4fdf99b328c91b21b","48281","book","Raising block"
"3314","prolific_participantid_5422cca4fdf99b328c91b21b","48282","book","Money safe"
"3314","prolific_participantid_5422cca4fdf99b328c91b21b","48283","book","Secret hiding place"
"3314","prolific_participantid_5422cca4fdf99b328c91b21b","48284","book","Art"
"3314","prolific_participantid_5422cca4fdf99b328c91b21b","47961","tin can","Pen pot"
"3314","prolific_participantid_5422cca4fdf99b328c91b21b","47962","tin can","Watering can"
"3314","prolific_participantid_5422cca4fdf99b328c91b21b","47963","tin can","Drum"
"3314","prolific_participantid_5422cca4fdf99b328c91b21b","47964","tin can","Stilts"
"3314","prolific_participantid_5422cca4fdf99b328c91b21b","47965","tin can","Phone (with string)"
"3314","prolific_participantid_5422cca4fdf99b328c91b21b","47966","tin can","Money box"
"3314","prolific_participantid_5422cca4fdf99b328c91b21b","47967","tin can","Rainwater collector"
"3318","prolific_participantid_54240de1fdf99b691fb383a8","48141","fork","hair comb"
"3318","prolific_participantid_54240de1fdf99b691fb383a8","48142","fork","weapon"
"3318","prolific_participantid_54240de1fdf99b691fb383a8","48143","fork","lawn aerator"
"3318","prolific_participantid_54240de1fdf99b691fb383a8","48144","fork","cat scarer"
"3318","prolific_participantid_54240de1fdf99b691fb383a8","48145","fork","french knitting"
"3318","prolific_participantid_54240de1fdf99b691fb383a8","48146","fork","musical instrument"
"3318","prolific_participantid_54240de1fdf99b691fb383a8","48147","fork","wind chimes"
"3318","prolific_participantid_54240de1fdf99b691fb383a8","47233","book","door stop"
"3318","prolific_participantid_54240de1fdf99b691fb383a8","47234","book","flower press"
"3318","prolific_participantid_54240de1fdf99b691fb383a8","47235","book","step"
"3318","prolific_participantid_54240de1fdf99b691fb383a8","47236","book","raiser"
"3318","prolific_participantid_54240de1fdf99b691fb383a8","47237","book","emergency fire lighter"
"3318","prolific_participantid_54240de1fdf99b691fb383a8","47771","tin can","telephone"
"3318","prolific_participantid_54240de1fdf99b691fb383a8","47772","tin can","pen holder"
"3318","prolific_participantid_54240de1fdf99b691fb383a8","47773","tin can","candle holder"
"3318","prolific_participantid_54240de1fdf99b691fb383a8","47774","tin can","stilts"
"3318","prolific_participantid_54240de1fdf99b691fb383a8","47775","tin can","making a stove"
"3318","prolific_participantid_54240de1fdf99b691fb383a8","47776","tin can","boil water in it"
"3318","prolific_participantid_54240de1fdf99b691fb383a8","47777","tin can","water holder"
"3318","prolific_participantid_54240de1fdf99b691fb383a8","47778","tin can","store food"
"3157","prolific_participantid_54aefa06fdf99b09c01b37f4","45371","fork","Putting strips of tin foil on it and using it to scare the birds."
"3157","prolific_participantid_54aefa06fdf99b09c01b37f4","45372","fork","Using it as a tool when painting to draw lines in thick paint on a canvas."
"3157","prolific_participantid_54aefa06fdf99b09c01b37f4","45373","fork","To massage someone's back (gently)."
"3157","prolific_participantid_54aefa06fdf99b09c01b37f4","45374","fork","To put cheese on and try to tempt a mouse out of a hole."
"3157","prolific_participantid_54aefa06fdf99b09c01b37f4","45375","fork","To mash baby food."
"3157","prolific_participantid_54aefa06fdf99b09c01b37f4","45376","fork","To use to toast food or marshmallows on an open fire."
"3157","prolific_participantid_54aefa06fdf99b09c01b37f4","45377","fork","To make candyfloss on if you don't have a stick."
"3157","prolific_participantid_54aefa06fdf99b09c01b37f4","45525","book","Throw it at someone who is being offensive or presenting a threat to you."
"3157","prolific_participantid_54aefa06fdf99b09c01b37f4","45526","book","Use it on the fire to burn to keep warm in this Tory induced cost of living crisis."
"3157","prolific_participantid_54aefa06fdf99b09c01b37f4","45527","book","Sell it to raise funds to buy food."
"3157","prolific_participantid_54aefa06fdf99b09c01b37f4","45528","book","Take photos of it for an art project."
"3157","prolific_participantid_54aefa06fdf99b09c01b37f4","45529","book","Make stacks and stacks of books against your house wall (indoors) as insulation to keep warm in wint"
"3157","prolific_participantid_54aefa06fdf99b09c01b37f4","45530","book","Wet the pages with glue and use use it in collage."
"3157","prolific_participantid_54aefa06fdf99b09c01b37f4","45690","tin can","Wash and recycle it to save the planet."
"3157","prolific_participantid_54aefa06fdf99b09c01b37f4","45691","tin can","Paint the outside and use it as a paint roller."
"3157","prolific_participantid_54aefa06fdf99b09c01b37f4","45692","tin can","Grow plants in it."
"3157","prolific_participantid_54aefa06fdf99b09c01b37f4","45693","tin can","Use it to collect rain water in the garden."
"3157","prolific_participantid_54aefa06fdf99b09c01b37f4","45694","tin can","Glue lots of tins together and put some plyboard on top to make a table."
"3157","prolific_participantid_54aefa06fdf99b09c01b37f4","45695","tin can","Use them to make an art installation."
"3335","prolific_participantid_554bfda7fdf99b14da73ce54","48211","fork","The side of it as a blunt knife?"
"3335","prolific_participantid_554bfda7fdf99b14da73ce54","48212","fork","Break off the 2 middle bits and use it as a stand"
"3335","prolific_participantid_554bfda7fdf99b14da73ce54","48213","fork","To reach something just out of reach"
"3335","prolific_participantid_554bfda7fdf99b14da73ce54","48214","fork","although you shouldn't. A weapon"
"3335","prolific_participantid_554bfda7fdf99b14da73ce54","47874","book","To put under a table leg to even it out"
"3335","prolific_participantid_554bfda7fdf99b14da73ce54","47875","book","A step to reach something you cannot reach otherwise"
"3335","prolific_participantid_554bfda7fdf99b14da73ce54","47876","book","Although you shouldn't. A weapon"
"3335","prolific_participantid_554bfda7fdf99b14da73ce54","47877","book","A stand to hold something up"
"3335","prolific_participantid_554bfda7fdf99b14da73ce54","48454","tin can","A cup"
"3335","prolific_participantid_554bfda7fdf99b14da73ce54","48455","tin can","pencil holder"
"3335","prolific_participantid_554bfda7fdf99b14da73ce54","48456","tin can","pen holder"
"3335","prolific_participantid_554bfda7fdf99b14da73ce54","48457","tin can","something to store small items in"
"3335","prolific_participantid_554bfda7fdf99b14da73ce54","48458","tin can","A step up if you use a few of them"
"3335","prolific_participantid_554bfda7fdf99b14da73ce54","48459","tin can","a stand"
"3335","prolific_participantid_554bfda7fdf99b14da73ce54","48460","tin can","a container for work/school lunch"
"3137","prolific_participantid_563fc664074be600055e9677","45087","fork","Dig garden"
"3137","prolific_participantid_563fc664074be600055e9677","45088","fork","pry something open"
"3137","prolific_participantid_563fc664074be600055e9677","45089","fork","stab attacker"
