Unnamed: 0,research_id,gpt3_id,temperature,respondent_id,response_id,exp_condition,object,response,eucl_item_resp,eucl_objc_resp,cos_dist_item_resp,cos_dist_objc_resp
1,GPT3202208,cmpl-5kwPhu78O2gzaQVpMQ0C6t1LLcznX,0.6,202208001,2022080002,1,book,doorstop,8.658492,8.365611,0.8548300415277481,0.8470857441425323
2,GPT3202208,cmpl-5kwPhu78O2gzaQVpMQ0C6t1LLcznX,0.6,202208001,2022080003,1,book,level table,9.062929,10.4000225,0.5132962465286255,0.720936506986618
3,GPT3202208,cmpl-5kwPhu78O2gzaQVpMQ0C6t1LLcznX,0.6,202208001,2022080004,1,book,paperweight,8.695191,8.987339,0.8309639245271683,0.9399681501090527
4,GPT3202208,cmpl-5kwPhu78O2gzaQVpMQ0C6t1LLcznX,0.6,202208001,2022080005,1,book,help start fire,13.495851,13.020587,0.7232505977153778,0.6646472215652466
5,GPT3202208,cmpl-5kwPhu78O2gzaQVpMQ0C6t1LLcznX,0.6,202208001,2022080006,1,book,ripped up d kindling for fire,15.212108,15.420358,0.7470154166221619,0.7893259823322296
6,GPT3202208,cmpl-5kwPhu78O2gzaQVpMQ0C6t1LLcznX,0.6,202208001,2022080007,1,book,given gift,10.177705,9.037138,0.7136701941490173,0.5635876357555389
7,GPT3202208,cmpl-5kwPlJz19pEFCKj4u8uKbe2PvvXWf,0.6,202208002,2022080009,2,book,read it,8.212921,5.070841,0.8621518760919571,0.34438902139663696
8,GPT3202208,cmpl-5kwPlJz19pEFCKj4u8uKbe2PvvXWf,0.6,202208002,2022080010,2,book,doorstop,8.658492,8.365611,0.8548300415277481,0.8470857441425323
9,GPT3202208,cmpl-5kwPlJz19pEFCKj4u8uKbe2PvvXWf,0.6,202208002,2022080011,2,book,prop up table,8.747178,10.616396,0.4857785701751709,0.7733390033245087
10,GPT3202208,cmpl-5kwPlJz19pEFCKj4u8uKbe2PvvXWf,0.6,202208002,2022080012,2,book,in place of cutting board,11.532593,12.492976,0.5381554961204529,0.6782282590866089
11,GPT3202208,cmpl-5kwPlJz19pEFCKj4u8uKbe2PvvXWf,0.6,202208002,2022080013,2,book,bookend,8.434269,8.124815,0.9073213785886765,0.9008066356182098
12,GPT3202208,cmpl-5kwPnlrFKHF6jHmwtR53XvIHHEmW1,0.6,202208003,2022080015,3,book,paperweight keep papers from flying away,14.132039,13.900374,0.6121380031108856,0.5823350548744202
13,GPT3202208,cmpl-5kwPnlrFKHF6jHmwtR53XvIHHEmW1,0.6,202208003,2022080016,3,book,coaster for your drink so it doesn't leave water ring on the table,22.079403,23.391417,0.5150125026702881,0.689402848482132
14,GPT3202208,cmpl-5kwPnlrFKHF6jHmwtR53XvIHHEmW1,0.6,202208003,2022080017,3,book,level out wobbly table or chair,12.861419,17.038462,0.2154178023338318,0.7402210533618927
15,GPT3202208,cmpl-5kwPnlrFKHF6jHmwtR53XvIHHEmW1,0.6,202208003,2022080018,3,book,doorstop,8.658492,8.365611,0.8548300415277481,0.8470857441425323
16,GPT3202208,cmpl-5kwPqv9E0gQBeMkkLWiz2EmAQilPH,0.6,202208004,2022080020,4,book,paperweight hold down papers or other objects,14.610624,14.861966,0.6000443994998932,0.6369659006595612
17,GPT3202208,cmpl-5kwPqv9E0gQBeMkkLWiz2EmAQilPH,0.6,202208004,2022080021,4,book,doorstop keep door open,12.191854,12.914133,0.6016079187393188,0.7138537466526031
