,id,item,response,response_id,object,respondent_id,temperature,eucl_item_resp,eucl_objc_resp,cos_dist_item_resp,cos_dist_objc_resp
0,1,chair,doorstop,2022040001,book,cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,0.67,8.658492,8.365611,0.8548300415277481,0.8470857441425323
1,2,chair,start a fire,2022040002,book,cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,0.67,6.8712573,6.382291,0.6830549538135529,0.6391919851303101
2,3,chair,prop up a table or chair leg,2022040003,book,cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,0.67,4.980463,6.3070064,0.2979423403739929,0.6505154967308044
3,4,chair,paperweight,2022040004,book,cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,0.67,8.695191,8.987339,0.8309639245271683,0.939968153834343
4,5,chair,make art such as by decoupaging it onto a canvas or,2022040005,book,cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,0.67,6.324841,5.7842026,0.5988328158855438,0.5408867299556732
5,6,chair,door stop,2022040006,book,cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,0.67,6.8453045,7.1566772,0.617443174123764,0.7348901927471161
6,7,chair,start a fire,2022040007,book,cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,0.67,6.8712573,6.382291,0.6830549538135529,0.6391919851303101
7,8,chair,prop up a table or chair leg,2022040008,book,cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,0.67,4.980463,6.3070064,0.2979423403739929,0.6505154967308044
8,9,chair,paperweight,2022040009,book,cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,0.67,8.695191,8.987339,0.8309639245271683,0.939968153834343
9,10,chair,make a collage or sculpture,2022040010,book,cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,0.67,6.500143,5.948086,0.6232795715332031,0.5652155578136444
10,11,chair,can be,2022040011,book,cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,0.67,7.2209396,6.5230865,0.7279921770095825,0.6387168169021606
11,12,chair,door stop,2022040012,book,cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x,0.67,6.8453045,7.1566772,0.617443174123764,0.7348901927471161
12,13,chair,prop up a table or chair leg,2022040013,book,cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x,0.67,4.980463,6.3070064,0.2979423403739929,0.6505154967308044
13,14,chair,paperweight,2022040014,book,cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x,0.67,8.695191,8.987339,0.8309639245271683,0.939968153834343
14,15,chair,make a collage or scrapbook,2022040015,book,cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x,0.67,6.7808433,5.785234,0.6916413605213165,0.5267477035522461
15,16,chair,cut up and used as confetti or streamers,2022040016,book,cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x,0.67,6.5156794,6.406901,0.6422767043113708,0.6999346017837524
16,17,chair,doorstop,2022040017,book,cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV,0.68,8.658492,8.365611,0.8548300415277481,0.8470857441425323
17,18,chair,start a fire,2022040018,book,cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV,0.68,6.8712573,6.382291,0.6830549538135529,0.6391919851303101
18,19,chair,paperweight,2022040019,book,cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV,0.68,8.695191,8.987339,0.8309639245271683,0.939968153834343
19,20,chair,prop up a wobbly table leg,2022040020,book,cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV,0.68,5.6796308,6.4858894,0.43638283014297485,0.7006753981113434
20,21,chair,coaster for drinks (to prevent water rings on furniture),2022040021,book,cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV,0.68,6.0455184,6.1760683,0.5236479043960571,0.653031975030899
21,22,chair,doorstop,2022040022,book,cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05,0.68,8.658492,8.365611,0.8548300415277481,0.8470857441425323
22,23,chair,hold open a window,2022040023,book,cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05,0.68,6.342192,6.4639,0.5684743821620941,0.6618037521839142
23,24,chair,coaster for a hot beverage,2022040024,book,cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05,0.68,6.4108553,6.37816,0.6039295792579651,0.6736717522144318
24,25,chair,level a table or shelf,2022040025,book,cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05,0.68,5.955741,6.136637,0.4932566285133362,0.6007437109947205
25,26,chair,used as an improvised weapon in self-defense or attack,2022040026,book,cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05,0.68,6.719333,6.07274,0.7037241458892822,0.614725261926651
26,27,chair,Make a book into a lampshade,2022040027,book,cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24,0.68,6.3475437,5.0618777,0.589316189289093,0.37152940034866333
27,28,chair,Turn an old book into a secret compartment,2022040028,book,cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24,0.68,6.4975524,5.2503505,0.6302100718021393,0.41048264503479004
