"id","response_id","eucldist_object_response","cosdist_object_response","eucldist_chair_response","cosdist_chair_response","object","response","originality_rater01","utility_rater01","surprise_rater01","originality_rater02","utility_rater02","surprise_rater02"
1,2022040001,8.365611,0.847085744142532,8.658492,0.854830041527748,"book","doorstop",NA,NA,NA,NA,NA,NA
2,2022040002,6.382291,0.63919198513031,6.8712573,0.683054953813553,"book","start a fire",NA,NA,NA,NA,NA,NA
3,2022040003,6.3070064,0.650515496730804,4.980463,0.297942340373993,"book","prop up a table or chair leg",NA,NA,NA,NA,NA,NA
4,2022040004,8.987339,0.939968153834343,8.695191,0.830963924527168,"book","paperweight",NA,NA,NA,NA,NA,NA
5,2022040005,5.7842026,0.540886729955673,6.324841,0.598832815885544,"book","make art such as by decoupaging it onto a canvas or",NA,NA,NA,NA,NA,NA
6,2022040006,7.1566772,0.734890192747116,6.8453045,0.617443174123764,"book","door stop",NA,NA,NA,NA,NA,NA
7,2022040007,6.382291,0.63919198513031,6.8712573,0.683054953813553,"book","start a fire",NA,NA,NA,NA,NA,NA
8,2022040008,6.3070064,0.650515496730804,4.980463,0.297942340373993,"book","prop up a table or chair leg",NA,NA,NA,NA,NA,NA
9,2022040009,8.987339,0.939968153834343,8.695191,0.830963924527168,"book","paperweight",NA,NA,NA,NA,NA,NA
10,2022040010,5.948086,0.565215557813644,6.500143,0.623279571533203,"book","make a collage or sculpture",NA,NA,NA,NA,NA,NA
11,2022040011,6.5230865,0.638716816902161,7.2209396,0.727992177009583,"book","can be",NA,NA,NA,NA,NA,NA
12,2022040012,7.1566772,0.734890192747116,6.8453045,0.617443174123764,"book","door stop",NA,NA,NA,NA,NA,NA
13,2022040013,6.3070064,0.650515496730804,4.980463,0.297942340373993,"book","prop up a table or chair leg",NA,NA,NA,NA,NA,NA
14,2022040014,8.987339,0.939968153834343,8.695191,0.830963924527168,"book","paperweight",NA,NA,NA,NA,NA,NA
15,2022040015,5.785234,0.526747703552246,6.7808433,0.691641360521317,"book","make a collage or scrapbook",NA,NA,NA,NA,NA,NA
16,2022040016,6.406901,0.699934601783752,6.5156794,0.642276704311371,"book","cut up and used as confetti or streamers",NA,NA,NA,NA,NA,NA
17,2022040017,8.365611,0.847085744142532,8.658492,0.854830041527748,"book","doorstop",NA,NA,NA,NA,NA,NA
18,2022040018,6.382291,0.63919198513031,6.8712573,0.683054953813553,"book","start a fire",NA,NA,NA,NA,NA,NA
19,2022040019,8.987339,0.939968153834343,8.695191,0.830963924527168,"book","paperweight",NA,NA,NA,NA,NA,NA
20,2022040020,6.4858894,0.700675398111343,5.6796308,0.436382830142975,"book","prop up a wobbly table leg",NA,NA,NA,NA,NA,NA
21,2022040021,6.1760683,0.653031975030899,6.0455184,0.523647904396057,"book","coaster for drinks (to prevent water rings on furniture)",NA,NA,NA,NA,NA,NA
22,2022040022,8.365611,0.847085744142532,8.658492,0.854830041527748,"book","doorstop",NA,NA,NA,NA,NA,NA
23,2022040023,6.4639,0.661803752183914,6.342192,0.568474382162094,"book","hold open a window",NA,NA,NA,NA,NA,NA
24,2022040024,6.37816,0.673671752214432,6.4108553,0.603929579257965,"book","coaster for a hot beverage",NA,NA,NA,NA,NA,NA
25,2022040025,6.136637,0.60074371099472,5.955741,0.493256628513336,"book","level a table or shelf",NA,NA,NA,NA,NA,NA
26,2022040026,6.07274,0.614725261926651,6.719333,0.703724145889282,"book","used as an improvised weapon in self-defense or attack",NA,NA,NA,NA,NA,NA
27,2022040027,5.0618777,0.371529400348663,6.3475437,0.589316189289093,"book","Make a book into a lampshade",NA,NA,NA,NA,NA,NA
28,2022040028,5.2503505,0.41048264503479,6.4975524,0.630210071802139,"book","Turn an old book into a secret compartment",NA,NA,NA,NA,NA,NA
29,2022040029,5.3794026,0.438795506954193,6.4208474,0.61100822687149,"book","Use books as coasters for your drinks",NA,NA,NA,NA,NA,NA
30,2022040030,5.241545,0.408574223518372,6.6063833,0.658046871423721,"book","Build a fort out of old books",NA,NA,NA,NA,NA,NA
31,2022040031,5.5438547,0.473849177360535,6.3013506,0.576780438423157,"book","Donate books to your local library or hospital waiting room",NA,NA,NA,NA,NA,NA
32,2022040032,5.4989595,0.467076480388641,6.477462,0.636393934488297,"book","Give a new twist to an old favorite by reading it in character voices",NA,NA,NA,NA,NA,NA
33,2022040033,8.365611,0.847085744142532,8.658492,0.854830041527748,"book","doorstop",NA,NA,NA,NA,NA,NA
34,2022040034,6.382291,0.63919198513031,6.8712573,0.683054953813553,"book","start a fire",NA,NA,NA,NA,NA,NA
35,2022040035,8.987339,0.939968153834343,8.695191,0.830963924527168,"book","paperweight",NA,NA,NA,NA,NA,NA
36,2022040036,6.2698207,0.652368813753128,4.9792576,0.290716886520386,"book","prop up a wobbly table or chair",NA,NA,NA,NA,NA,NA
37,2022040037,6.2950587,0.676762640476227,6.8993454,0.756360992789268,"book","weapon (for self-defense or attack)",NA,NA,NA,NA,NA,NA
