"id","response_id","eucldist_object_response","eucldist_chair_response","cosdist_object_response","cosdist_chair_response","object","response","originality_rater01","utility_rater01","surprise_rater01","originality_rater02","utility_rater02","surprise_rater02","rater"
1,2022040001,8.365611,8.658492,0.847085744,0.854830042,"book","doorstop",NA,NA,NA,2,5,2,NA
2,2022040002,6.382291,6.8712573,0.639191985,0.683054954,"book","start a fire",NA,NA,NA,2,4,2,NA
3,2022040003,6.3070064,4.980463,0.650515497,0.29794234,"book","prop up a table or chair leg",NA,NA,NA,3,4,3,NA
4,2022040004,8.987339,8.695191,0.939968154,0.830963925,"book","paperweight",NA,NA,NA,2,5,1,NA
5,2022040005,5.7842026,6.324841,0.54088673,0.598832816,"book","make art such as by decoupaging it onto a canvas or",NA,NA,NA,2,5,2,NA
6,2022040006,7.1566772,6.8453045,0.734890193,0.617443174,"book","door stop",NA,NA,NA,2,5,2,NA
7,2022040007,6.382291,6.8712573,0.639191985,0.683054954,"book","start a fire",NA,NA,NA,2,4,2,NA
8,2022040008,6.3070064,4.980463,0.650515497,0.29794234,"book","prop up a table or chair leg",NA,NA,NA,3,4,2,NA
9,2022040009,8.987339,8.695191,0.939968154,0.830963925,"book","paperweight",NA,NA,NA,2,5,1,NA
10,2022040010,5.948086,6.500143,0.565215558,0.623279572,"book","make a collage or sculpture",NA,NA,NA,3,4,3,NA
11,2022040011,6.5230865,7.2209396,0.638716817,0.727992177,"book","can be",NA,NA,NA,99,99,99,NA
12,2022040012,7.1566772,6.8453045,0.734890193,0.617443174,"book","door stop",NA,NA,NA,2,5,2,NA
13,2022040013,6.3070064,4.980463,0.650515497,0.29794234,"book","prop up a table or chair leg",NA,NA,NA,3,4,2,NA
14,2022040014,8.987339,8.695191,0.939968154,0.830963925,"book","paperweight",NA,NA,NA,2,5,1,NA
15,2022040015,5.785234,6.7808433,0.526747704,0.691641361,"book","make a collage or scrapbook",NA,NA,NA,2,5,2,NA
16,2022040016,6.406901,6.5156794,0.699934602,0.642276704,"book","cut up and used as confetti or streamers",NA,NA,NA,3,4,2,NA
17,2022040017,8.365611,8.658492,0.847085744,0.854830042,"book","doorstop",NA,NA,NA,2,5,2,NA
18,2022040018,6.382291,6.8712573,0.639191985,0.683054954,"book","start a fire",NA,NA,NA,2,4,2,NA
19,2022040019,8.987339,8.695191,0.939968154,0.830963925,"book","paperweight",NA,NA,NA,2,5,1,NA
20,2022040020,6.4858894,5.6796308,0.700675398,0.43638283,"book","prop up a wobbly table leg",NA,NA,NA,3,4,2,NA
21,2022040021,6.1760683,6.0455184,0.653031975,0.523647904,"book","coaster for drinks (to prevent water rings on furniture)",NA,NA,NA,2,5,1,NA
22,2022040022,8.365611,8.658492,0.847085744,0.854830042,"book","doorstop",NA,NA,NA,2,5,2,NA
23,2022040023,6.4639,6.342192,0.661803752,0.568474382,"book","hold open a window",NA,NA,NA,2,5,2,NA
24,2022040024,6.37816,6.4108553,0.673671752,0.603929579,"book","coaster for a hot beverage",NA,NA,NA,2,5,1,NA
25,2022040025,6.136637,5.955741,0.600743711,0.493256629,"book","level a table or shelf",NA,NA,NA,3,4,3,NA
26,2022040026,6.07274,6.719333,0.614725262,0.703724146,"book","used as an improvised weapon in self-defense or attack",NA,NA,NA,2,3,2,NA
27,2022040027,5.0618777,6.3475437,0.3715294,0.589316189,"book","Make a book into a lampshade",NA,NA,NA,4,3,5,NA
28,2022040028,5.2503505,6.4975524,0.410482645,0.630210072,"book","Turn an old book into a secret compartment",NA,NA,NA,3,4,3,NA
29,2022040029,5.3794026,6.4208474,0.438795507,0.611008227,"book","Use books as coasters for your drinks",NA,NA,NA,2,5,1,NA
30,2022040030,5.241545,6.6063833,0.408574224,0.658046871,"book","Build a fort out of old books",NA,NA,NA,4,3,4,NA
31,2022040031,5.5438547,6.3013506,0.473849177,0.576780438,"book","Donate books to your local library or hospital waiting room",NA,NA,NA,1,5,1,NA
32,2022040032,5.4989595,6.477462,0.46707648,0.636393934,"book","Give a new twist to an old favorite by reading it in character voices",NA,NA,NA,1,5,1,NA
33,2022040033,8.365611,8.658492,0.847085744,0.854830042,"book","doorstop",NA,NA,NA,2,5,2,NA
34,2022040034,6.382291,6.8712573,0.639191985,0.683054954,"book","start a fire",NA,NA,NA,2,4,2,NA
35,2022040035,8.987339,8.695191,0.939968154,0.830963925,"book","paperweight",NA,NA,NA,2,5,1,NA
36,2022040036,6.2698207,4.9792576,0.652368814,0.290716887,"book","prop up a wobbly table or chair",NA,NA,NA,3,4,2,NA
37,2022040037,6.2950587,6.8993454,0.67676264,0.756360993,"book","weapon (for self-defense or attack)",NA,NA,NA,3,3,2,NA
38,2022040038,8.365611,8.658492,0.847085744,0.854830042,"book","doorstop",NA,NA,NA,2,5,2,NA
39,2022040039,8.987339,8.695191,0.939968154,0.830963925,"book","paperweight",NA,NA,NA,2,5,1,NA
40,2022040040,6.4858894,5.6796308,0.700675398,0.43638283,"book","prop up a wobbly table leg",NA,NA,NA,3,4,2,NA
41,2022040041,6.1466517,6.259826,0.615031779,0.567357063,"book","make a small shelf or ledge",NA,NA,NA,3,4,4,NA
42,2022040042,6.403056,6.2202425,0.654207289,0.545932323,"book","hold open a window or door",NA,NA,NA,2,5,2,NA
43,2022040043,8.365611,8.658492,0.847085744,0.854830042,"book","doorstop",NA,NA,NA,2,5,2,NA
44,2022040044,6.136637,5.955741,0.600743711,0.493256629,"book","level a table or shelf",NA,NA,NA,3,4,3,NA
45,2022040045,8.987339,8.695191,0.939968154,0.830963925,"book","paperweight",NA,NA,NA,2,5,1,NA
46,2022040046,6.2771516,4.934053,0.646798134,0.287186325,"book","make a impromptu stool or chair",NA,NA,NA,3,3,4,NA
47,2022040047,6.13525,6.5074472,0.623246163,0.637169868,"book","used in place of a cutting board when slicing vegetables or meat",NA,NA,NA,4,4,5,NA
48,2022040048,8.365611,8.658492,0.847085744,0.854830042,"book","doorstop",NA,NA,NA,2,5,2,NA
49,2022040049,6.183057,6.07203,0.608821929,0.516999036,"book","keep a table level",NA,NA,NA,3,4,2,NA
50,2022040050,6.271651,6.5922794,0.643702447,0.646063685,"book","make a paperweight",NA,NA,NA,2,5,1,NA
51,2022040051,6.6349006,6.5918913,0.710690469,0.629114717,"book","coaster for hot drinks",NA,NA,NA,2,5,1,NA
52,2022040052,6.403056,6.2202425,0.654207289,0.545932323,"book","hold open a window or door",NA,NA,NA,2,5,2,NA
