"","respondent_id","human","num_categories"
"1","12","1",7
"2","13","1",6
"3","14","1",8
"4","15","1",6
"5","16","1",5
"6","17","1",7
"7","18","1",7
"8","19","1",9
"9","20","1",6
"10","23","1",7
"11","22","1",5
"12","24","1",4
"13","25","1",4
"14","26","1",3
"15","27","1",3
"16","28","1",4
"17","29","1",5
"18","30","1",8
"19","35","1",4
"20","36","1",6
"21","37","1",6
"22","38","1",4
"23","39","1",8
"24","40","1",3
"25","41","1",4
"26","42","1",4
"27","43","1",6
"28","44","1",2
"29","45","1",6
"30","46","1",8
"31","47","1",6
"32","48","1",4
"33","49","1",2
"34","50","1",5
"35","51","1",5
"36","cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd","0",3
"37","cmpl-4zra4atJ3XarPjkJspnVq87V10M79","0",4
"38","cmpl-4zraCg6Ph8xSbK0yjXAdPnidD11ay","0",5
"39","cmpl-4zraM64Ja1WKyyzHnRS2C1x6wvtM1","0",3
"40","cmpl-4zratgs7BTfghucjtwvLdg3h5Ktcj","0",5
"41","cmpl-59yQtsvXwW0njm8gXQFJeXv6u3Ny6","0",5
"42","cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4","0",4
"43","cmpl-4zraZpLyhHci56f4QhgT4B7SmCvrt","0",5
"44","cmpl-4zraUifPUfrYanvkLcAzlKBfY459v","0",6
"45","cmpl-4zrawJ9oDldEBthK2vgZupbmFMm4H","0",5
"46","cmpl-59yQOBRnDIgoPxtl0iZBI8Kty9nl8","0",4
"47","cmpl-59yQcLCdVJkTgq0PnFY4gTc695mRZ","0",6
"48","cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw","0",4
"49","cmpl-4zrad3UgMywrIHWm2sISmtf8VYQgP","0",3
"50","cmpl-4zrbDITGHAQhN1jsdlVUwpqxbMxvL","0",3
"51","cmpl-4zraGctlemkCLq7TdhINVy0S5X0JP","0",4
"52","cmpl-4zrahdwzmeu6wqCXH9mwDInKMIiDX","0",8
"53","cmpl-4zrakJLlAzMdyKNNYUGLwDUYw1gGV","0",5
"54","cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp","0",5
"55","cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI","0",3
"56","cmpl-4zrZWebxU7t3KID75VgorICiQ98tS","0",4
"57","cmpl-4zrZqhtBWfKrFwRr3cP7sCW8d8PYm","0",3
"58","cmpl-4zrZvmychPlDCIbEldT5F8zqS2hVa","0",3
"59","cmpl-4zrb0QXXrFMPbzffB0TG92HVogg3y","0",4
"60","cmpl-59yQLBAmoJlusWtDBmMlzl0gpifCj","0",3
"61","cmpl-59yQwHV6vCOakJVZ1CHiqG682ktNg","0",4
"62","cmpl-4zraQmDGIEyFg7seTG2WjAuWnieHS","0",5
"63","cmpl-59yQUX94gZwoEVKJ3agTr74VCxKeh","0",6
"64","cmpl-4zraqw62ODEyAK2awfLKbL89Lp8B3","0",2
"65","cmpl-59yR6IGKESjByzO1qGnZld0AJaqz7","0",4
"66","cmpl-4zrZY4nYblpqmzHy9W3YWvhChz4N6","0",4
"67","cmpl-59yRDVaQRerSxPHw5w2J42In6nOuj","0",4
"68","cmpl-4zrb4pbZjJzgQf6xbhicfC27UEn7l","0",6
"69","cmpl-4zrb7jeIL1TFrfKlWLLLftejtTyZb","0",2
"70","cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI","0",1
"71","cmpl-59yQgge4lJCoANiACsRX2AMbQJjCj","0",2
"72","cmpl-4zrZjikiz5Bp8OUolwkQmV6EoHVfC","0",5
"73","cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO","0",5
"74","cmpl-4zrZn3pRQCA9tRNajvLHknkm5sC1K","0",5
"75","cmpl-59yR0KAeBWyKIom3Ru5Zw3lv9SAPq","0",4
"76","cmpl-59yQp1CEjEldmRnr4EScobvJeZK62","0",5
"77","cmpl-59yQkIKSqxqQnIUEZhuNVQvkADELj","0",5
"78","cmpl-59yQQcHGSj7HN8K98VSctR3gsTTV5","0",7
"79","cmpl-59yQXu3UYI29IndH5n0C9QgqxQAUr","0",3
"80","cmpl-59yR9cLdTgNszzxAPHHMxTJaSOxVp","0",5
"81","cmpl-59yRGy3JQfUzn0g36zZMVjgD585DM","0",3
"82","cmpl-59yRLA523w3plqAXDQYHxvOKhwpa5","0",7
"83","cmpl-59yRPWbNnWM3F9JmgHccub0konNBc","0",2
