response_id,respondent_id,object,response,item,category01_rater01,category02_rater01,category03_rater01,category04_rater01
173,12,fork,a knife,fork,104,,,
174,12,fork,a spoon,fork,104,,,
175,12,fork,a scraper,fork,131,,,
176,12,fork,a screwdriver,fork,113,,,
177,12,fork,wallpaper pickup,fork,113,,,
178,12,fork,a stabbing weapon,fork,111,,,
179,12,fork,a coat rack for barbie clothes,fork,129,,,
180,12,fork,a broom,fork,113,,,
181,12,fork,a toothbrush,fork,131,,,
182,12,fork,a hole punch,fork,130,,,
183,12,fork,knitting sticks,fork,110,,,
240,13,fork,a comb,fork,126,113,,
241,13,fork,you can bend a fork and screw it to the wall and then hang a hanging plant from it,fork,129,,,
242,13,fork,you can bend the tines of a fork so that it becomes a stand for name tags at a table,fork,999,121,,
243,13,fork,as a rake for raking the garden,fork,113,,,
244,13,fork,as the key,fork,113,130,,
245,13,fork,you can hold the window open with a fork so it doesn't blow shut,fork,123,,,
246,13,fork,weapon,fork,111,,,
301,14,fork,food,fork,116,,,
302,14,fork,bob,fork,130,,,
303,14,fork,make noise,fork,114,,,
304,14,fork,To put in your hair to hold your bun,fork,126,,,
305,14,fork,carve something in wood/stone or the like,fork,110,113,,
306,14,fork,comb your hair,fork,126,113,,
307,14,fork,rifle,fork,111,,,
308,14,fork,cutting instead of a knife,fork,104,,,
309,14,fork,as a toothpick,fork,131,,,
310,14,fork,scratching your back,fork,131,,,
311,14,fork,get dirt from under your nails,fork,131,130,,
395,15,fork,brush,fork,126,113,,
396,15,fork,weed whacker,fork,113,,,
397,15,fork,back scraper,fork,131,,,
398,15,fork,stick for garbage,fork,123,,,
399,15,fork,catapult for shooting food,fork,113,,,
400,15,fork,holder for your punk work,fork,123,,,
401,15,fork,paper puncture,fork,130,,,
402,15,fork,figure maker in dough for cookies,fork,104,,,
403,15,fork,pressing the edges of the apple turnovers,fork,104,,,
468,16,fork,weapon,fork,111,,,
469,16,fork,hole puncher,fork,130,,,
470,16,fork,standard,fork,123,,,
471,16,fork,scoop,fork,113,,,
472,16,fork,gardening tools,fork,113,,,
473,16,fork,mixer,fork,104,,,
474,16,fork,thread from clothing retrieval tool,fork,130,113,,
528,17,fork,throw,fork,133,,,
529,17,fork,catch,fork,133,,,
530,17,fork,pick in the ground,fork,123,,,
531,17,fork,eat soup,fork,116,,,
532,17,fork,eat candy,fork,116,,,
533,17,fork,Lois pricks,fork,130,,,
534,17,fork,redirect,fork,117,,,
535,17,fork,straighten,fork,117,,,
536,17,fork,meat cutting,fork,104,,,
537,17,fork,prick dough into pieces,fork,104,,,
538,17,fork,line up,fork,133,,,
539,17,fork,put an egg on it and do a race,fork,108,,,
540,17,fork,stir,fork,104,,,
621,18,fork,to eat with,fork,116,,,
622,18,fork,To make a catapult with,fork,108,111,,
623,18,fork,to make a work of art,fork,109,110,,
624,18,fork,to eat soup,fork,116,,,
625,18,fork,as a necklace make for your outfit,fork,124,125,,
626,18,fork,poke eyes out,fork,111,131,,
627,18,fork,making holes in your quiche dough,fork,104,130,,
628,18,fork,use as an aid to clay with,fork,110,113,,
698,19,fork,food,fork,116,,,
699,19,fork,to stir,fork,104,,,
700,19,fork,to play with,fork,108,,,
701,19,fork,to comb your hair with,fork,126,113,,
702,19,fork,to remove hairs from clothing,fork,133,,,
703,19,fork,to get something out of the mud,fork,133,,,
704,19,fork,To poke around in something clean up trash,fork,114,,,
705,19,fork,as a mirror,fork,123,,,
706,19,fork,as a tool for acting,fork,123,,,
707,19,fork,for conducting,fork,114,,,
708,19,fork,to point out something,fork,123,133,,
709,19,fork,as a dart,fork,108,,,
710,19,fork,as a silver object,fork,119,132,,
711,19,fork,to show what silver is,fork,132,,,
819,20,fork,pricking of food,fork,116,,,
820,20,fork,jab someone with it,fork,111,,,
821.1,20,fork,turn around Uri gellerlike,fork,117,,,
821.2,20,fork,turn around Uri gellerlike,fork,117,,,
822,20,fork,take out the two middle bars and use as a fork for chocolates,fork,104,117,116,
823,20,fork,make music,fork,114,,,
824,20,fork,Drawing attention at the table to a speech,fork,104,133,,
825,20,fork,you can pick up something with it,fork,113,,,
826,20,fork,test if cooked meat is done,fork,104,,,
917,23,fork,drawing in sand,fork,110,,,
918,23,fork,drawing with paint,fork,110,,,
919,23,fork,pointer,fork,123,113,,
920,23,fork,earring,fork,125,131,,
921,23,fork,photo holder,fork,127,,,
922.1,23,fork,poking someone warning them,fork,111,,,
922.2,23,fork,poking someone warning them,fork,111,,,
923,23,fork,musical instrument tapping on the table etc,fork,114,,,
924,23,fork,instead of a paralyzed hand,fork,113,,,
925,23,fork,clock hand,fork,127,109,,
941,22,fork,comb hair,fork,126,113,,
942,22,fork,turn into a bracelet,fork,125,117,,
943,22,fork,Scratching your skin when you are itching,fork,131,,,
944,22,fork,play with it by placing it on the edge of the table and let it launch,fork,108,,,
945,22,fork,raking,fork,113,,,
1037,24,fork,comb hair,fork,126,113,,
1038,24,fork,make bows,fork,110,,,
1039,24,fork,can opener,fork,104,,,
1040,24,fork,ruler,fork,113,123,,
1073,25,fork,nail,fork,129,,,
1074,25,fork,weapon,fork,111,,,
1075,25,fork,lever/catapult,fork,113,,,
1076,25,fork,bracelets/chains to hang from,fork,129,,,
1077,25,fork,as pen,fork,110,,,
1078,25,fork,To knit/crochet etc,fork,110,113,,
1135,26,fork,hair combs,fork,126,113,,
1136,26,fork,attach to the wall as a coat rack,fork,129,,,
1137,26,fork,as a hair ornament in a bun,fork,126,125,,
1138,26,fork,To scratch your back,fork,131,,,
1183,27,fork,screwdriver back,fork,113,,,
1184,27,fork,open a beer bottle,fork,104,,,
1185,27,fork,to elicit a response,fork,130,,,
1222,28,fork,knife someone,fork,111,,,
1223,28,fork,food,fork,116,,,
1224,28,fork,pull something out from under the sofa,fork,133,,,
1225,28,fork,to make scratches with,fork,113,110,,
1226,28,fork,to hit someone with,fork,111,,,
1265,29,fork,weapon,fork,111,,,
1266,29,fork,comb,fork,126,113,,
1267,29,fork,food,fork,116,,,
1268,29,fork,spike,fork,130,123,,
1269,29,fork,stir with,fork,104,,,
1309,30,fork,skewer,fork,104,,,
1310,30,fork,sticks,fork,123,,,
1311,30,fork,bundling of knives,fork,121,,,
1312,30,fork,iron rods,fork,123,,,
1313,30,fork,clamping pliers,fork,113,,,
1314,30,fork,suction cup,fork,998,,,
1315,30,fork,magnet,fork,132,,,
1316,30,fork,2 spoons,fork,0,,,
1317,30,fork,fingers,fork,999,,,
1385,35,fork,food,fork,116,,,
1386,35,fork,pick up,fork,133,,,
1387,35,fork,drawing in the sand,fork,110,,,
1388,35,fork,catch something,fork,133,,,
1389,35,fork,To throw something away,fork,113,,,
1390,35,fork,unlock something,fork,133,,,
1418,36,fork,Writing accounts,fork,110,123,,
1419,36,fork,vote,fork,114,,,
1420,36,fork,Chinese food,fork,116,,,
1421,36,fork,split,fork,999,102,,
1422,36,fork,part of bicycle,fork,999,,,
1423,36,fork,lamppost,fork,998,,,
1424,36,fork,light,fork,123,,,
1444,37,fork,toothpick,fork,131,,,
1445,37,fork,hair curler,fork,126,113,,
1446,37,fork,brush,fork,126,113,,
1447,37,fork,fix in the ground as a pole,fork,123,,,
1448,37,fork,scratch your back,fork,131,,,
1449,37,fork,javelin throw,fork,107,108,,
1450,37,fork,weapon,fork,111,,,
1451,37,fork,nail cleaner,fork,131,130,,
