id,,response_nofill,item,item_nofill,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,SemDis_factor,category01,category02,category03,category04
cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24,Build a fort out of old books,Build a fort out of old books,book,book,,,,,,,,100,,,
cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24,Donate books to your local library or hospital waiting room,Donate books to your local library or hospital waiting room,book,book,,,,,,,,119,,,
cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24,Give a new twist to an old favorite by reading it in character voices,Give a new twist to an old favorite by reading it in character voices,book,book,,,,,,,,400,412,,
cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24,Make a book into a lampshade,Make a book into a lampshade,book,book,,,,,,,,127,110,123,
cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24,Turn an old book into a secret compartment,Turn an old book into a secret compartment,book,book,,,,,,,,402,,,
cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24,Use books as coasters for your drinks,Use books as coasters for your drinks,book,book,,,,,,,,118,,,
cmpl-4zrXf5f89HctStj42UI8NCmMxujME,doorstop,doorstop,book,book,,,,,,,,113,123,,
cmpl-4zrXf5f89HctStj42UI8NCmMxujME,paperweight,paperweight,book,book,,,,,,,,103,,,
cmpl-4zrXf5f89HctStj42UI8NCmMxujME,prop up a wobbly table or chair,prop up a wobbly table or chair,book,book,,,,,,,,113,121,106,
cmpl-4zrXf5f89HctStj42UI8NCmMxujME,start a fire,start a fire,book,book,,,,,,,,406,,,
cmpl-4zrXf5f89HctStj42UI8NCmMxujME,weapon (for self-defense or attack),weapon (for self-defense or attack),book,book,,,,,,,,111,,,
cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,doorstop,doorstop,book,book,,,,,,,,113,123,,
cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,make art such as by decoupaging it onto a canvas or,make art such as by decoupaging it onto a canvas or,book,book,,,,,,,,110,,,
cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,paperweight,paperweight,book,book,,,,,,,,103,,,
cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,prop up a table or chair leg,prop up a table or chair leg,book,book,,,,,,,,113,121,106,
cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,start a fire,start a fire,book,book,,,,,,,,406,,,
cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR,doorstop,doorstop,book,book,,,,,,,,113,123,,
cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR,hold open a window or door,hold open a window or door,book,book,,,,,,,,113,123,121,
cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR,make a small shelf or ledge,make a small shelf or ledge,book,book,,,,,,,,121,127,,
cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR,paperweight,paperweight,book,book,,,,,,,,103,,,
cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR,prop up a wobbly table leg,prop up a wobbly table leg,book,book,,,,,,,,113,121,106,
cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,can be,can be,book,book,,,,,,,,998,,,
cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,door stop,door stop,book,book,,,,,,,,113,123,,
cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,make a collage or sculpture,make a collage or sculpture,book,book,,,,,,,,110,,,
cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,paperweight,paperweight,book,book,,,,,,,,103,,,
cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,prop up a table or chair leg,prop up a table or chair leg,book,book,,,,,,,,113,121,,
cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,start a fire,start a fire,book,book,,,,,,,,406,,,
cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7,doorstop,doorstop,book,book,,,,,,,,113,123,,
cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7,level a table or shelf,level a table or shelf,book,book,,,,,,,,113,121,106,
cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7,make a impromptu stool or chair,make a impromptu stool or chair,book,book,,,,,,,,101,,,
cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7,paperweight,paperweight,book,book,,,,,,,,103,,,
cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7,used in place of a cutting board when slicing vegetables or meat,used in place of a cutting board when slicing vegetables or meat,book,book,,,,,,,,104,,,
cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x,cut up and used as confetti or streamers,cut up and used as confetti or streamers,book,book,,,,,,,,110,127,,
cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x,door stop,door stop,book,book,,,,,,,,113,123,,
cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x,make a collage or scrapbook,make a collage or scrapbook,book,book,,,,,,,,110,,,
cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x,paperweight,paperweight,book,book,,,,,,,,103,,,
cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x,prop up a table or chair leg,prop up a table or chair leg,book,book,,,,,,,,113,121,106,
cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA,can be,can be,book,book,,,,,,,,998,,,
