"","id","response","item","category01","category02","category03","category04","respondent_id","response_id","temperature","object"
"1","cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd","Use a fork to eat food off of a plate","fork",116,NA,NA,NA,"cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd",2022040224,0.7,"fork"
"2","cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd","Hold a fork up to the light to see if it is bent","fork",116,104,NA,NA,"cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd",2022040227,0.7,"fork"
"3","cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd","Use a fork as a back scratcher","fork",131,NA,NA,NA,"cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd",2022040226,0.7,"fork"
"4","cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd","Use a fork as a back scratcher","fork",131,NA,NA,NA,"cmpl-4zra4atJ3XarPjkJspnVq87V10M79",2022040231,0.71,"fork"
"5","cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd","Stick a fork in a electrical outlet to see if it is still working","fork",132,NA,NA,NA,"cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd",2022040225,0.7,"fork"
"6","cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd","Try to balance a fork on its end","fork",132,NA,NA,NA,"cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd",2022040228,0.7,"fork"
"7","cmpl-4zra4atJ3XarPjkJspnVq87V10M79","Curl your hair with a fork","fork",126,113,NA,NA,"cmpl-4zra4atJ3XarPjkJspnVq87V10M79",2022040234,0.71,"fork"
"8","cmpl-4zra4atJ3XarPjkJspnVq87V10M79","Use a fork as a toothpick","fork",131,130,NA,NA,"cmpl-4zra4atJ3XarPjkJspnVq87V10M79",2022040233,0.71,"fork"
"9","cmpl-4zra4atJ3XarPjkJspnVq87V10M79","Use a fork as a toothpick","fork",131,130,NA,NA,"cmpl-4zraCg6Ph8xSbK0yjXAdPnidD11ay",2022040246,0.71,"fork"
"10","cmpl-4zra4atJ3XarPjkJspnVq87V10M79","Use a fork as a toothpick","fork",131,130,NA,NA,"cmpl-4zraM64Ja1WKyyzHnRS2C1x6wvtM1",2022040256,0.72,"fork"
"11","cmpl-4zra4atJ3XarPjkJspnVq87V10M79","Use a fork as a toothpick","fork",131,130,NA,NA,"cmpl-4zratgs7BTfghucjtwvLdg3h5Ktcj",2022040305,0.75,"fork"
"12","cmpl-4zra4atJ3XarPjkJspnVq87V10M79","Use a fork as a toothpick","fork",131,130,NA,NA,"cmpl-59yQtsvXwW0njm8gXQFJeXv6u3Ny6",2022050160,0.78,"fork"
"13","cmpl-4zra4atJ3XarPjkJspnVq87V10M79","Use a fork to measure ingredients when cooking","fork",104,NA,NA,NA,"cmpl-4zra4atJ3XarPjkJspnVq87V10M79",2022040232,0.71,"fork"
"14","cmpl-4zra4atJ3XarPjkJspnVq87V10M79","Make music with forks and spoons by banging them together or on surfaces like tables and","fork",114,NA,NA,NA,"cmpl-4zra4atJ3XarPjkJspnVq87V10M79",2022040235,0.71,"fork"
"15","cmpl-4zra4atJ3XarPjkJspnVq87V10M79","Use a fork as a back scratcher","fork",131,NA,NA,NA,"cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd",2022040226,0.7,"fork"
"16","cmpl-4zra4atJ3XarPjkJspnVq87V10M79","Use a fork as a back scratcher","fork",131,NA,NA,NA,"cmpl-4zra4atJ3XarPjkJspnVq87V10M79",2022040231,0.71,"fork"
"17","cmpl-4zra4atJ3XarPjkJspnVq87V10M79","Use a fork to play the xylophone","fork",114,NA,NA,NA,"cmpl-4zra4atJ3XarPjkJspnVq87V10M79",2022040230,0.71,"fork"
"18","cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4","Use a fork to eat ice cream","fork",116,NA,NA,NA,"cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4",2022040238,0.71,"fork"
"19","cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4","Use a fork to clean your teeth","fork",131,NA,NA,NA,"cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4",2022040239,0.71,"fork"
"20","cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4","Use a fork to apply makeup","fork",131,NA,NA,NA,"cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4",2022040237,0.71,"fork"
"21","cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4","Use a fork to apply makeup","fork",131,NA,NA,NA,"cmpl-4zratgs7BTfghucjtwvLdg3h5Ktcj",2022040304,0.75,"fork"
"22","cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4","Use a fork to pick up food that's fallen on the floor","fork",133,116,NA,NA,"cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4",2022040241,0.71,"fork"
"23","cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4","Use a fork to curl your hair","fork",126,113,NA,NA,"cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4",2022040236,0.71,"fork"
"24","cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4","Use a fork to curl your hair","fork",126,113,NA,NA,"cmpl-4zraZpLyhHci56f4QhgT4B7SmCvrt",2022040272,0.73,"fork"
"25","cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4","Use a fork to brush your hair","fork",126,113,NA,NA,"cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4",2022040240,0.71,"fork"
