id,response,item,category01,category02,category03,category04
cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd,Use a fork to eat food off of a plate,fork,116,,,
cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd,Hold a fork up to the light to see if it is bent,fork,116,104,,
cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd,Use a fork as a back scratcher,fork,131,,,
cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd,Stick a fork in a electrical outlet to see if it is still working,fork,132,,,
cmpl-4zra0z5F57t7Ygw0bm05szm3Hl5yd,Try to balance a fork on its end,fork,132,,,
cmpl-4zra4atJ3XarPjkJspnVq87V10M79,Curl your hair with a fork,fork,126,113,,
cmpl-4zra4atJ3XarPjkJspnVq87V10M79,Use a fork as a toothpick,fork,131,130,,
cmpl-4zra4atJ3XarPjkJspnVq87V10M79,Use a fork to measure ingredients when cooking,fork,104,,,
cmpl-4zra4atJ3XarPjkJspnVq87V10M79,Make music with forks and spoons by banging them together or on surfaces like tables and,fork,114,,,
cmpl-4zra4atJ3XarPjkJspnVq87V10M79,Use a fork as a back scratcher,fork,131,,,
cmpl-4zra4atJ3XarPjkJspnVq87V10M79,Use a fork to play the xylophone,fork,114,,,
cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4,Use a fork to eat ice cream,fork,116,,,
cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4,Use a fork to clean your teeth,fork,131,,,
cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4,Use a fork to apply makeup,fork,131,,,
cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4,Use a fork to pick up food that's fallen on the floor,fork,133,116,,
cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4,Use a fork to curl your hair,fork,126,113,,
cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4,Use a fork to brush your hair,fork,126,113,,
cmpl-4zra7PJ3V7WlDovz4p2SWxDhYNZL4,Use a fork to open,fork,133,,,
cmpl-4zraCg6Ph8xSbK0yjXAdPnidD11ay,Use a fork as a toothpick,fork,131,130,,
cmpl-4zraCg6Ph8xSbK0yjXAdPnidD11ay,Use a fork to comb your hair,fork,126,113,,
cmpl-4zraCg6Ph8xSbK0yjXAdPnidD11ay,Use a fork to eat a cupcake without getting your hands messy,fork,116,,,
cmpl-4zraCg6Ph8xSbK0yjXAdPnidD11ay,Stick a fork in an electrical outlet to see if it's still working,fork,132,,,
cmpl-4zraCg6Ph8xSbK0yjXAdPnidD11ay,Stick a fork in the ground to mark your spot in line,fork,102,,,
cmpl-4zrad3UgMywrIHWm2sISmtf8VYQgP,eat food,fork,116,,,
cmpl-4zrad3UgMywrIHWm2sISmtf8VYQgP,serve food,fork,104,116,,
