id,response_id,eucldist_object_response,eucldist_chair_response,cosdist_object_response,cosdist_chair_response,object,response,category01,category02,category03,category04
479,2022040479,0,7.2677965,1.19E-07,0.745433539,tin can,tin can,0,,,
768,2022050264,0,7.2677965,1.19E-07,0.745433539,tin can,tin can,0,,,
730,2022050226,2.5207129,6.7605762,0.156478226,0.673669755,tin can,Turn a tin,0,,,
785,2022050281,2.6986134,6.772406,0.180082798,0.674066901,tin can,Use an empty tin,0,,,
405,2022040405,2.9738026,6.994983,0.226986051,0.778861746,tin can,tin cancan be,0,,,
392,2022040392,3.774071,6.8825073,0.357666433,0.698228538,tin can,be used to,0,,,
777,2022050273,4.418714,7.3669786,0.406581223,0.730397046,tin can,make,0,,,
357,2022040357,4.193002,7.837172,0.412236571,0.895558976,tin can,tin cancan,0,,,
386,2022040386,4.7582846,7.30548,0.487674832,0.730397046,tin can,It,0,,,
790,2022050286,5.4549103,7.2753134,0.590703815,0.691592336,tin can,A,0,,,
1630,20167307,5.0946336,7.3149667,0.59189114,0.75648886,tin can,tab off,0,,,
816,2022050312,6.3536115,8.385424,0.625745445,0.797554672,tin can,pig,0,,,
1639,20167316,6.3423448,8.034032,0.673499137,0.765450045,tin can,rolls,0,,,
1443,20160604,3.5349865,6.445571,0.333941817,0.620179862,tin can,make a tower out of cans,100,,,
748,2022050244,3.6685436,6.725841,0.353685617,0.681375474,tin can,set of stacking nesting tins cans,100,,,
1635,20167312,6.8835783,7.915011,0.729718387,0.702644229,tin can,stacking,100,,,
1518,20161171,4.255527,6.149201,0.494987011,0.545119107,tin can,as a lampshade,101,,,
1463,20160795,4.4141006,6.645785,0.554854572,0.683089346,tin can,to indicate position (discuss strategy),102,122,,
1464,20160796,4.6910434,6.964483,0.584667176,0.738762826,tin can,designating a certain point,102,,,
1390,20160166,3.631807,6.5667276,0.353222251,0.65022102,tin can,You can make it a weight by filling it with soil.,103,,,
478,2022040478,3.6427705,6.44413,0.3569929,0.620325059,tin can,could be used as a paperweight,103,,,
767,2022050263,3.706671,6.431736,0.374050677,0.620472193,tin can,could be used as a doorstop,103,,,
1549,20161492,3.8174853,6.534441,0.403183818,0.652081817,tin can,Use as reinforcement for walls etc.,103,121,,
1494,20161017,4.0709114,6.4976344,0.429671109,0.617180318,tin can,so that the door does not close,103,,,
1391,20160167,4.036845,6.697997,0.440526247,0.681998938,tin can,(so that something doesn't blow away),103,,,
1405,20160284,4.2613354,6.564184,0.448655665,0.617552042,tin can,keep the window open,103,,,
1615,20162140,4.4109907,6.6792374,0.496387422,0.653787166,tin can,use as dumbbells,103,,,
718,2022050214,7.3449664,8.695191,0.81119673,0.830963925,tin can,paperweight,103,,,
717,2022050213,7.5555935,8.658492,0.912026666,0.854830042,tin can,doorstop,103,,,
1581,20161903,7.5555935,8.658492,0.912026666,0.854830042,tin can,doorstop,103,,,
450,2022040450,3.1579468,6.504857,0.261300147,0.646269649,tin can,For those who love baking a tin can be turned into a mini-loaf pan perfect for individual servings,104,301,307,
784,2022050280,3.3222735,6.353676,0.288263798,0.616235554,tin can,Make a set of coasters by decoupaging old magazine pages onto tin cans and sealing with clear Mod Podge,104,302,,
1388,20160164,3.5197573,6.5102067,0.326929569,0.631292909,tin can,"With the can itself you can make a knife, should you have a broken one",104,111,,
441,2022040441,3.651308,6.5274186,0.355386019,0.63770017,tin can,be used to store spices in the kitchen,104,301,,
365,2022040365,3.6813073,6.638746,0.364017904,0.669417679,tin can,cut in half and used as salt and pepper shakers,104,,,
1571,20161713,3.8584168,6.686699,0.379789591,0.657507777,tin can,use sharp edge to cut paper,104,111,,
1624,20162156,3.890628,6.540877,0.40125525,0.635987163,tin can,"rolling, rolling dough or something else",104,,,
1533,20161373,4.3416634,7.195754,0.403987825,0.705327362,tin can,pan with lid,104,,,
486,2022040486,4.2372403,7.276628,0.431707442,0.771753281,tin can,can opener,104,,,
1544,20161487,4.052426,6.672581,0.443242013,0.674555033,tin can,Flattening and making objects out of them,104,307,,
1598,20161963,4.3040166,6.266916,0.518328309,0.577973902,tin can,"washing up ""dryer"" for cutlery",104,301,,
1602,20162014,5.132764,7.300246,0.597406149,0.750703529,tin can,include cutting,104,111,,
1623,20162155,4.9712377,7.039601,0.598813117,0.718587071,tin can,"sharp, cutting",104,307,,
1425,20160456,7.13288,8.585495,0.654914618,0.739777565,tin can,knife,104,111,,
1579,20161816,5.9142203,7.882177,0.667794347,0.797785938,tin can,beer opener,104,,,
487,2022040487,8.048132,9.603654,0.793215021,0.879511788,tin can,colander,104,,,
