"","id","response_id","object","response","originality_rater01","utility_rater01","surprise_rater01","research_id","respondent_id","temperature","human"
"1",163,2022040163,"fork","Use it as a back scratcher",2,5,1,"GPT3202204","cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO",0.67,"0"
"2",164,2022040164,"fork","Use it to pick up small items like coins or beads",2,5,1,"GPT3202204","cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO",0.67,"0"
"3",165,2022040165,"fork","Use it as a hairpin or hair tie",2,4,2,"GPT3202204","cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO",0.67,"0"
"4",166,2022040166,"fork","Turn it into a miniature shovel for potted plants",2,4,2,"GPT3202204","cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO",0.67,"0"
"5",167,2022040167,"fork","Stick it in the ground to mark your spot in a park",2,5,2,"GPT3202204","cmpl-4zrZJMEPvTCpbwtqgGBNie7DjeQCO",0.67,"0"
"6",168,2022040168,"fork","back scratcher",2,5,1,"GPT3202204","cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI",0.67,"0"
"7",169,2022040169,"fork","pick up small items like rice or beans",1,5,1,"GPT3202204","cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI",0.67,"0"
"8",170,2022040170,"fork","apply makeup such as lip gloss or mascara",3,2,3,"GPT3202204","cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI",0.67,"0"
"9",171,2022040171,"fork","clean dirt and grime out of small crevices and corners",2,5,2,"GPT3202204","cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI",0.67,"0"
"10",172,2022040172,"fork","fork",1,5,1,"GPT3202204","cmpl-4zrZNd7OIfqxjARAb99vs1sxpMxRI",0.67,"0"
"11",173,2022040173,"fork","eat food",1,5,1,"GPT3202204","cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw",0.67,"0"
"12",174,2022040174,"fork","hold food while cutting it with a knife",1,5,1,"GPT3202204","cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw",0.67,"0"
"13",175,2022040175,"fork","spear food",1,5,1,"GPT3202204","cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw",0.67,"0"
"14",176,2022040176,"fork","pick up food that has fallen on the floor",1,5,1,"GPT3202204","cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw",0.67,"0"
"15",177,2022040177,"fork","back scratcher",2,5,1,"GPT3202204","cmpl-4zrZSDPDs3Az2uXgUA9QLBOn42eMw",0.67,"0"
"16",179,2022040179,"fork","back scratcher",2,5,1,"GPT3202204","cmpl-4zrZWebxU7t3KID75VgorICiQ98tS",0.68,"0"
"17",180,2022040180,"fork","comb your hair",2,4,2,"GPT3202204","cmpl-4zrZWebxU7t3KID75VgorICiQ98tS",0.68,"0"
"18",181,2022040181,"fork","toothpick",2,4,2,"GPT3202204","cmpl-4zrZWebxU7t3KID75VgorICiQ98tS",0.68,"0"
"19",182,2022040182,"fork","scrape dirt off your shoes",2,5,1,"GPT3202204","cmpl-4zrZWebxU7t3KID75VgorICiQ98tS",0.68,"0"
"20",183,2022040183,"fork","pick up small objects like paperclips or beads",2,5,1,"GPT3202204","cmpl-4zrZWebxU7t3KID75VgorICiQ98tS",0.68,"0"
"21",184,2022040184,"fork","fork",1,5,1,"GPT3202204","cmpl-4zrZWebxU7t3KID75VgorICiQ98tS",0.68,"0"
"22",185,2022040185,"fork","toothpick",2,4,2,"GPT3202204","cmpl-4zrZY4nYblpqmzHy9W3YWvhChz4N6",0.68,"0"
"23",186,2022040186,"fork","make small holes in fabric so that you can thread ribbon or string through it to create decorations",3,4,2,"GPT3202204","cmpl-4zrZY4nYblpqmzHy9W3YWvhChz4N6",0.68,"0"
"24",187,2022040187,"fork","makeshift chopsticks when eating rice or noodles",2,4,2,"GPT3202204","cmpl-4zrZY4nYblpqmzHy9W3YWvhChz4N6",0.68,"0"
"25",188,2022040188,"fork","play the steel pan drums",3,5,2,"GPT3202204","cmpl-4zrZY4nYblpqmzHy9W3YWvhChz4N6",0.68,"0"
"26",190,2022040190,"fork","hairpin",2,4,2,"GPT3202204","cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp",0.68,"0"
"27",191,2022040191,"fork","toothpick",2,4,2,"GPT3202204","cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp",0.68,"0"
"28",192,2022040192,"fork","remove splinters",2,3,2,"GPT3202204","cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp",0.68,"0"
"29",193,2022040193,"fork","clean under your fingernails",2,5,2,"GPT3202204","cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp",0.68,"0"
"30",194,2022040194,"fork","can double as a chopstick holder.",2,4,2,"GPT3202204","cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp",0.68,"0"
"31",195,2022040195,"fork","Use the tines of a fork",1,4,1,"GPT3202204","cmpl-4zrZdUvDG0St0SuFktOwf4gs47zNp",0.68,"0"
"32",196,2022040196,"fork","Use a fork to eat soup without making a mess",2,3,1,"GPT3202204","cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI",0.69,"0"
"33",197,2022040197,"fork","Use a fork to eat spaghetti without making a mess",1,5,1,"GPT3202204","cmpl-4zrZhgIyBhnNWABiT0OfdrsodCcvI",0.69,"0"
