id,response_id,eucldist_object_response,eucldist_chair_response,cosdist_object_response,cosdist_chair_response,object,response,originality_rater01,utility_rater01,surprise_rater01,originality_rater02,utility_rater02,surprise_rater02,rater_01,rater_02
1,2022040001,"8,365,611","8,658,492",0.847085744,0.854830042,book,doorstop,NA,NA,NA,2,5,2,NA,IS
2,2022040002,"6,382,291","68,712,573",0.639191985,0.683054954,book,start a fire,NA,NA,NA,2,4,2,NA,IS
3,2022040003,"63,070,064","4,980,463",0.650515497,0.29794234,book,prop up a table or chair leg,2,4,2,3,4,3,MB,IS
4,2022040004,"8,987,339","8,695,191",0.939968154,0.830963925,book,paperweight,NA,NA,NA,2,5,1,NA,IS
5,2022040005,"57,842,026","6,324,841",0.54088673,0.598832816,book,make art such as by decoupaging it onto a canvas or,NA,NA,NA,2,5,2,NA,IS
6,2022040006,"71,566,772","68,453,045",0.734890193,0.617443174,book,door stop,NA,NA,NA,2,5,2,NA,IS
7,2022040007,"6,382,291","68,712,573",0.639191985,0.683054954,book,start a fire,NA,NA,NA,2,4,2,NA,IS
8,2022040008,"63,070,064","4,980,463",0.650515497,0.29794234,book,prop up a table or chair leg,2,4,2,3,4,2,MB,IS
9,2022040009,"8,987,339","8,695,191",0.939968154,0.830963925,book,paperweight,NA,NA,NA,2,5,1,NA,IS
10,2022040010,"5,948,086","6,500,143",0.565215558,0.623279572,book,make a collage or sculpture,NA,NA,NA,3,4,3,NA,IS
11,2022040011,"65,230,865","72,209,396",0.638716817,0.727992177,book,can be,NA,NA,NA,99,99,99,NA,IS
12,2022040012,"71,566,772","68,453,045",0.734890193,0.617443174,book,door stop,NA,NA,NA,2,5,2,NA,IS
13,2022040013,"63,070,064","4,980,463",0.650515497,0.29794234,book,prop up a table or chair leg,2,4,2,3,4,2,MB,IS
14,2022040014,"8,987,339","8,695,191",0.939968154,0.830963925,book,paperweight,NA,NA,NA,2,5,1,NA,IS
15,2022040015,"5,785,234","67,808,433",0.526747704,0.691641361,book,make a collage or scrapbook,NA,NA,NA,2,5,2,NA,IS
16,2022040016,"6,406,901","65,156,794",0.699934602,0.642276704,book,cut up and used as confetti or streamers,NA,NA,NA,3,4,2,NA,IS
