id,response_id,eucldist_object_response,cosdist_object_response,eucldist_chair_response,cosdist_chair_response,object,response,originality_rater02,utility_rater02,surprise_rater02
1,2022040001,8.365611,0.847085744,8.658492,0.854830042,book,doorstop,2,5,2
2,2022040002,6.382291,0.639191985,6.8712573,0.683054954,book,start a fire,2,4,2
3,2022040003,6.3070064,0.650515497,4.980463,0.29794234,book,prop up a table or chair leg,3,4,3
4,2022040004,8.987339,0.939968154,8.695191,0.830963925,book,paperweight,2,5,1
5,2022040005,5.7842026,0.54088673,6.324841,0.598832816,book,make art such as by decoupaging it onto a canvas or,2,5,2
6,2022040006,7.1566772,0.734890193,6.8453045,0.617443174,book,door stop,2,5,2
7,2022040007,6.382291,0.639191985,6.8712573,0.683054954,book,start a fire,2,4,2
8,2022040008,6.3070064,0.650515497,4.980463,0.29794234,book,prop up a table or chair leg,3,4,2
9,2022040009,8.987339,0.939968154,8.695191,0.830963925,book,paperweight,2,5,1
10,2022040010,5.948086,0.565215558,6.500143,0.623279572,book,make a collage or sculpture,3,4,3
11,2022040011,6.5230865,0.638716817,7.2209396,0.727992177,book,can be,99,99,99
12,2022040012,7.1566772,0.734890193,6.8453045,0.617443174,book,door stop,2,5,2
13,2022040013,6.3070064,0.650515497,4.980463,0.29794234,book,prop up a table or chair leg,3,4,2
14,2022040014,8.987339,0.939968154,8.695191,0.830963925,book,paperweight,2,5,1
15,2022040015,5.785234,0.526747704,6.7808433,0.691641361,book,make a collage or scrapbook,2,5,2
16,2022040016,6.406901,0.699934602,6.5156794,0.642276704,book,cut up and used as confetti or streamers,3,4,2
17,2022040017,8.365611,0.847085744,8.658492,0.854830042,book,doorstop,2,5,2
18,2022040018,6.382291,0.639191985,6.8712573,0.683054954,book,start a fire,2,4,2
19,2022040019,8.987339,0.939968154,8.695191,0.830963925,book,paperweight,2,5,1
20,2022040020,6.4858894,0.700675398,5.6796308,0.43638283,book,prop up a wobbly table leg,3,4,2
21,2022040021,6.1760683,0.653031975,6.0455184,0.523647904,book,coaster for drinks (to prevent water rings on furniture),2,5,1
22,2022040022,8.365611,0.847085744,8.658492,0.854830042,book,doorstop,2,5,2
23,2022040023,6.4639,0.661803752,6.342192,0.568474382,book,hold open a window,2,5,2
24,2022040024,6.37816,0.673671752,6.4108553,0.603929579,book,coaster for a hot beverage,2,5,1
25,2022040025,6.136637,0.600743711,5.955741,0.493256629,book,level a table or shelf,3,4,3
26,2022040026,6.07274,0.614725262,6.719333,0.703724146,book,used as an improvised weapon in self-defense or attack,2,3,2
27,2022040027,5.0618777,0.3715294,6.3475437,0.589316189,book,Make a book into a lampshade,4,3,5
28,2022040028,5.2503505,0.410482645,6.4975524,0.630210072,book,Turn an old book into a secret compartment,3,4,3
29,2022040029,5.3794026,0.438795507,6.4208474,0.611008227,book,Use books as coasters for your drinks,2,5,1
30,2022040030,5.241545,0.408574224,6.6063833,0.658046871,book,Build a fort out of old books,4,3,4
31,2022040031,5.5438547,0.473849177,6.3013506,0.576780438,book,Donate books to your local library or hospital waiting room,1,5,1
32,2022040032,5.4989595,0.46707648,6.477462,0.636393934,book,Give a new twist to an old favorite by reading it in character voices,1,5,1
33,2022040033,8.365611,0.847085744,8.658492,0.854830042,book,doorstop,2,5,2
34,2022040034,6.382291,0.639191985,6.8712573,0.683054954,book,start a fire,2,4,2
35,2022040035,8.987339,0.939968154,8.695191,0.830963925,book,paperweight,2,5,1
36,2022040036,6.2698207,0.652368814,4.9792576,0.290716887,book,prop up a wobbly table or chair,3,4,2
37,2022040037,6.2950587,0.67676264,6.8993454,0.756360993,book,weapon (for self-defense or attack),3,3,2
38,2022040038,8.365611,0.847085744,8.658492,0.854830042,book,doorstop,2,5,2
39,2022040039,8.987339,0.939968154,8.695191,0.830963925,book,paperweight,2,5,1
40,2022040040,6.4858894,0.700675398,5.6796308,0.43638283,book,prop up a wobbly table leg,3,4,2
41,2022040041,6.1466517,0.615031779,6.259826,0.567357063,book,make a small shelf or ledge,3,4,4
42,2022040042,6.403056,0.654207289,6.2202425,0.545932323,book,hold open a window or door,2,5,2
43,2022040043,8.365611,0.847085744,8.658492,0.854830042,book,doorstop,2,5,2
44,2022040044,6.136637,0.600743711,5.955741,0.493256629,book,level a table or shelf,3,4,3
45,2022040045,8.987339,0.939968154,8.695191,0.830963925,book,paperweight,2,5,1
46,2022040046,6.2771516,0.646798134,4.934053,0.287186325,book,make a impromptu stool or chair,3,3,4
47,2022040047,6.13525,0.623246163,6.5074472,0.637169868,book,used in place of a cutting board when slicing vegetables or meat,4,4,5
48,2022040048,8.365611,0.847085744,8.658492,0.854830042,book,doorstop,2,5,2
49,2022040049,6.183057,0.608821929,6.07203,0.516999036,book,keep a table level,3,4,2
50,2022040050,6.271651,0.643702447,6.5922794,0.646063685,book,make a paperweight,2,5,1
51,2022040051,6.6349006,0.710690469,6.5918913,0.629114717,book,coaster for hot drinks,2,5,1
52,2022040052,6.403056,0.654207289,6.2202425,0.545932323,book,hold open a window or door,2,5,2
53,2022040053,6.5230865,0.638716817,7.2209396,0.727992177,book,can be,99,99,99
54,2022040054,8.365611,0.847085744,8.658492,0.854830042,book,doorstop,2,5,2
55,2022040055,6.2200613,0.623315185,6.6853485,0.661415875,book,start a fire in an emergency situation,2,4,2
56,2022040056,6.369084,0.66409713,6.511275,0.623301953,book,coaster for your beverage,2,5,1
57,2022040057,6.4520235,0.666389048,6.292433,0.561929733,book,level a table or surface,3,4,2
58,2022040058,6.0278077,0.60375002,6.085353,0.533386499,book,used as decoration on a shelf or mantelpiece,2,4,2
59,2022040059,8.365611,0.847085744,8.658492,0.854830042,book,doorstop,2,5,2
60,2022040060,6.382291,0.639191985,6.8712573,0.683054954,book,start a fire,2,4,2
61,2022040061,6.24457,0.632689118,5.8265743,0.46736443,book,prop up a table,3,4,2
62,2022040062,8.987339,0.939968154,8.695191,0.830963925,book,paperweight,2,5,1
63,2022040063,6.4639,0.661803752,6.342192,0.568474382,book,hold open a window,2,5,2
64,2022040064,5.5902224,0.468734145,6.588283,0.614867359,book,make a paper,1,4,1
65,2022040065,8.365611,0.847085744,8.658492,0.854830042,book,doorstop,2,5,2
66,2022040066,6.136637,0.600743711,5.955741,0.493256629,book,level a table or shelf,3,4,2
67,2022040067,8.987339,0.939968154,8.695191,0.830963925,book,paperweight,2,5,1
68,2022040068,5.785234,0.526747704,6.7808433,0.691641361,book,make a collage or scrapbook,2,5,2
69,2022040069,6.1503496,0.625393391,6.572679,0.652502984,book,used as kindling for a fire,2,4,2
70,2022040070,6.7813983,0.661421716,7.54756,0.764100671,book,can,4,1,2
71,2022040071,8.365611,0.847085744,8.658492,0.854830042,book,doorstop,2,5,2
72,2022040072,6.3177576,0.645355046,6.311865,0.572584033,book,level a table or other surface,3,4,2
73,2022040073,6.3525615,0.673345029,4.924946,0.28062129,book,prop up a wobbly chair or couch,3,4,2
74,2022040074,8.987339,0.939968154,8.695191,0.830963925,book,paperweight,2,5,1
75,2022040075,6.1844125,0.621660322,6.36333,0.590167791,book,door stop in an open doorway to help,2,5,2
76,2022040076,8.365611,0.847085744,8.658492,0.854830042,book,doorstop,2,5,2
77,2022040077,6.136637,0.600743711,5.955741,0.493256629,book,level a table or shelf,3,4,2
78,2022040078,8.987339,0.939968154,8.695191,0.830963925,book,paperweight,2,5,1
79,2022040079,6.0087533,0.586554348,6.5165024,0.63490355,book,keep papers from blowing away in the wind,2,5,1
80,2022040080,6.2737226,0.634781718,6.0258994,0.508993268,book,make a small step stool,3,4,3
81,2022040081,0,0,8.428878,0.793410257,book,book,1,5,1
82,2022040082,8.365611,0.847085744,8.658492,0.854830042,book,doorstop,2,5,2
83,2022040083,6.3651466,0.675155222,5.738524,0.449152231,book,prop up a wobbly table,3,4,2
84,2022040084,5.6250834,0.485195577,6.365465,0.581106812,book,make a paper airplane,2,5,2
85,2022040085,6.1503496,0.625393391,6.572679,0.652502984,book,used as kindling for a fire,2,4,2
86,2022040086,7.816819,0.887701958,7.8775954,0.835960165,book,absorb spilled liquid,4,3,4
87,2022040087,4.61844,0.296288192,7.142381,0.717852622,book,collection of books,2,5,1
88,2022040088,7.1566772,0.734890193,6.8453045,0.617443174,book,door stop,2,5,2
89,2022040089,6.4294972,0.644518286,6.0567083,0.50439617,book,level a table,3,4,2
90,2022040090,6.4441624,0.691661537,4.979725,0.294432163,book,prop up a wobbly chair,3,4,2
91,2022040091,8.987339,0.939968154,8.695191,0.830963925,book,paperweight,2,5,1
92,2022040092,6.240978,0.629056245,5.7818127,0.457399786,book,make a small stool or side table,3,3,3
93,2022040093,6.1221085,0.607652485,6.608695,0.650813073,book,cut in half and the,99,99,99
94,2022040094,8.365611,0.847085744,8.658492,0.854830042,book,doorstop,2,5,2
95,2022040095,6.291964,0.630795956,4.9046626,0.291682601,book,level a table or chair,3,4,2
96,2022040096,8.987339,0.939968154,8.695191,0.830963925,book,paperweight,2,5,1
97,2022040097,6.55575,0.695979029,6.4313164,0.595465422,book,prop open a window,2,5,2
98,2022040098,6.37816,0.673671752,6.4108553,0.603929579,book,coaster for a hot beverage,2,5,1
99,2022040099,6.9448614,0.687739044,7.6076136,0.769105598,book,used,99,99,99
100,2022040100,8.365611,0.847085744,8.658492,0.854830042,book,doorstop,2,5,2
101,2022040101,6.291964,0.630795956,4.9046626,0.291682601,book,level a table or chair,3,4,2
102,2022040102,8.987339,0.939968154,8.695191,0.830963925,book,paperweight,2,5,1
103,2022040103,5.9981785,0.592731535,5.7124505,0.441420197,book,prop up a wobbly leg on a piece of furniture,3,4,2
104,2022040104,6.2275376,0.632102489,6.6725235,0.665309876,book,used as fuel for a fire,2,4,2
105,2022040105,7.1566772,0.734890193,6.8453045,0.617443174,book,door stop,2,5,2
106,2022040106,6.136637,0.600743711,5.955741,0.493256629,book,level a table or shelf,3,4,2
107,2022040107,6.3670263,0.674010515,5.021946,0.301214576,book,prop up a wobbly chair or table leg,3,4,2
108,2022040108,8.987339,0.939968154,8.695191,0.830963925,book,paperweight,2,5,1
109,2022040109,6.5729837,0.709748894,7.1678224,0.782391474,book,smash spiders or other bugs,2,5,1
110,2022040110,8.365611,0.847085744,8.658492,0.854830042,book,doorstop,2,5,2
111,2022040111,6.291964,0.630795956,4.9046626,0.291682601,book,level a table or chair,3,4,2
112,2022040112,8.987339,0.939968154,8.695191,0.830963925,book,paperweight,2,5,1
113,2022040113,6.4858894,0.700675398,5.6796308,0.43638283,book,prop up a wobbly table leg,3,4,2
114,2022040114,6.1503496,0.625393391,6.572679,0.652502984,book,used as kindling for a fire,2,4,2
115,2022040115,0,0,8.428878,0.793410257,book,book,1,5,1
116,2022040116,5.0618777,0.3715294,6.3475437,0.589316189,book,Make a book into a lampshade,4,3,5
117,2022040117,6.018457,0.605287641,6.3524227,0.606981099,book,clock by gluing numbers to the cover and attaching hands,5,2,5
118,2022040118,5.275967,0.4096632,6.4333425,0.631286323,book,Create a sculpture or collage by decoupaging old book pages onto an object,3,4,3
119,2022040119,5.88493,0.575575233,6.5306396,0.674960285,book,Make coasters out ofbook pages sealed with mod podge.,2,4,2
120,2022040120,4.726596,0.303074837,6.543041,0.641166717,book,Fold the pages of an old book,2,5,1
121,2022040121,8.365611,0.847085744,8.658492,0.854830042,book,doorstop,2,5,2
122,2022040122,6.136637,0.600743711,5.955741,0.493256629,book,level a table or shelf,3,4,2
123,2022040123,8.987339,0.939968154,8.695191,0.830963925,book,paperweight,2,5,1
124,2022040124,5.948086,0.565215558,6.500143,0.623279572,book,make a collage or sculpture,2,4,3
125,2022040125,6.2275376,0.632102489,6.6725235,0.665309876,book,used as fuel for a fire,2,4,2
126,2022040126,6.9448614,0.687739044,7.6076136,0.769105598,book,used,99,99,99
127,2022040127,7.1566772,0.734890193,6.8453045,0.617443174,book,door stop,2,5,2
128,2022040128,6.5117373,0.690100074,5.8628755,0.473517179,book,balance a wobbly table,3,4,2
129,2022040129,8.987339,0.939968154,8.695191,0.830963925,book,paperweight,2,5,1
130,2022040130,6.27012,0.655889452,6.2329483,0.565917581,book,prop up a wonky picture frame,3,4,2
131,2022040131,6.2072244,0.619173408,6.0103593,0.505706072,book,make a small stool more comfortable,3,3,3
132,2022040132,6.775876,0.645056695,7.2753134,0.691592336,book,A,99,99,99
133,2022040133,8.365611,0.847085744,8.658492,0.854830042,book,doorstop,2,5,2
