"id","response_id","respondent_id","object","response","originality_rater01","utility_rater01","surprise_rater01","originality_rater02","utility_rater02","surprise_rater02","originality","utility","surprise","human","semdis"
1,2022040001,"cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf","book","doorstop",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.847085744142532
2,2022040002,"cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf","book","start a fire",NA,NA,NA,2,4,2,2,4,2,"GPT-3",0.63919198513031
3,2022040003,"cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf","book","prop up a table or chair leg",2,4,2,3,4,3,2,4,2,"GPT-3",0.650515496730804
4,2022040004,"cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf","book","paperweight",NA,NA,NA,2,5,1,2,5,1,"GPT-3",0.939968153834343
5,2022040005,"cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf","book","make art such as by decoupaging it onto a canvas or",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.540886729955673
6,2022040006,"cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr","book","door stop",NA,NA,NA,2,5,2,2,5,2,"GPT-3",0.734890192747116
7,2022040007,"cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr","book","start a fire",NA,NA,NA,2,4,2,2,4,2,"GPT-3",0.63919198513031
8,2022040008,"cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr","book","prop up a table or chair leg",2,4,2,3,4,2,2,4,2,"GPT-3",0.650515496730804
9,2022040009,"cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr","book","paperweight",NA,NA,NA,2,5,1,2,5,1,"GPT-3",0.939968153834343
10,2022040010,"cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr","book","make a collage or sculpture",NA,NA,NA,3,4,3,3,4,3,"GPT-3",0.565215557813644
