id,gpt3_id,gpt3_created,gpt3_model,engine,timestamp,temperature,presence_penalty,frequency_penalty,instr_text,aut_object,gpt3_response
1,cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,1650649150,text-davinci:002,text-davinci-002,2022-04-22 19:39:12.749178,0.67,1,1,What are some creative uses for a book? The goal is to come up with creative ideas which are ideas that strike people as clever unusual interesting uncommon humorous innovative or different. List 9 creative uses for a book.,book,
1,cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,1650649150,text-davinci:002,text-davinci-002,2022-04-22 19:39:12.749178,0.67,1,1,What are some creative uses for a book? The goal is to come up with creative ideas which are ideas that strike people as clever unusual interesting uncommon humorous innovative or different. List 9 creative uses for a book.,book,A book can be used as a doorstop
1,cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,1650649150,text-davinci:002,text-davinci-002,2022-04-22 19:39:12.749178,0.67,1,1,What are some creative uses for a book? The goal is to come up with creative ideas which are ideas that strike people as clever unusual interesting uncommon humorous innovative or different. List 9 creative uses for a book.,book,A book can be used to start a fire
1,cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,1650649150,text-davinci:002,text-davinci-002,2022-04-22 19:39:12.749178,0.67,1,1,What are some creative uses for a book? The goal is to come up with creative ideas which are ideas that strike people as clever unusual interesting uncommon humorous innovative or different. List 9 creative uses for a book.,book,A book can be used to prop up a table or chair leg
1,cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,1650649150,text-davinci:002,text-davinci-002,2022-04-22 19:39:12.749178,0.67,1,1,What are some creative uses for a book? The goal is to come up with creative ideas which are ideas that strike people as clever unusual interesting uncommon humorous innovative or different. List 9 creative uses for a book.,book,A book can be used as a paperweight
1,cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,1650649150,text-davinci:002,text-davinci-002,2022-04-22 19:39:12.749178,0.67,1,1,What are some creative uses for a book? The goal is to come up with creative ideas which are ideas that strike people as clever unusual interesting uncommon humorous innovative or different. List 9 creative uses for a book.,book,A book can be used to make art such as by decoupaging it onto a canvas or
2,cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,1650649152,text-davinci:002,text-davinci-002,2022-04-22 19:39:16.329810,0.67,1,1,What are some creative uses for a book? The goal is to come up with creative ideas which are ideas that strike people as clever unusual interesting uncommon humorous innovative or different. List 9 creative uses for a book.,book,
2,cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,1650649152,text-davinci:002,text-davinci-002,2022-04-22 19:39:16.329810,0.67,1,1,What are some creative uses for a book? The goal is to come up with creative ideas which are ideas that strike people as clever unusual interesting uncommon humorous innovative or different. List 9 creative uses for a book.,book,A book can be used as a door stop
2,cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,1650649152,text-davinci:002,text-davinci-002,2022-04-22 19:39:16.329810,0.67,1,1,What are some creative uses for a book? The goal is to come up with creative ideas which are ideas that strike people as clever unusual interesting uncommon humorous innovative or different. List 9 creative uses for a book.,book,A book can be used to start a fire
2,cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,1650649152,text-davinci:002,text-davinci-002,2022-04-22 19:39:16.329810,0.67,1,1,What are some creative uses for a book? The goal is to come up with creative ideas which are ideas that strike people as clever unusual interesting uncommon humorous innovative or different. List 9 creative uses for a book.,book,A book can be used to prop up a table or chair leg
