"","id","gpt3_id","temperature","aut_object","gpt3_response"
"1",1,"cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf",0.67,"book","doorstop"
"2",1,"cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf",0.67,"book","start a fire"
"3",1,"cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf",0.67,"book","prop up a table or chair leg"
"4",1,"cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf",0.67,"book","paperweight"
"5",1,"cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf",0.67,"book","make art such as by decoupaging it onto a canvas or"
"6",2,"cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr",0.67,"book","door stop"
"7",2,"cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr",0.67,"book","start a fire"
"8",2,"cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr",0.67,"book","prop up a table or chair leg"
"9",2,"cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr",0.67,"book","paperweight"
"10",2,"cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr",0.67,"book","make a collage or sculpture"
"11",2,"cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr",0.67,"book","can be"
"12",3,"cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x",0.67,"book","door stop"
"13",3,"cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x",0.67,"book","prop up a table or chair leg"
"14",3,"cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x",0.67,"book","paperweight"
"15",3,"cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x",0.67,"book","make a collage or scrapbook"
"16",3,"cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x",0.67,"book","cut up and used as confetti or streamers"
"17",4,"cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV",0.68,"book","doorstop"
"18",4,"cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV",0.68,"book","start a fire"
"19",4,"cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV",0.68,"book","paperweight"
"20",4,"cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV",0.68,"book","prop up a wobbly table leg"
"21",4,"cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV",0.68,"book","coaster for drinks (to prevent water rings on furniture)"
"22",5,"cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05",0.68,"book","doorstop"
"23",5,"cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05",0.68,"book","hold open a window"
"24",5,"cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05",0.68,"book","coaster for a hot beverage"
"25",5,"cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05",0.68,"book","level a table or shelf"
"26",5,"cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05",0.68,"book","used as an improvised weapon in self-defense or attack"
"27",6,"cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24",0.68,"book","Make a book into a lampshade"
"28",6,"cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24",0.68,"book","Turn an old book into a secret compartment"
"29",6,"cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24",0.68,"book","Use books as coasters for your drinks"
"30",6,"cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24",0.68,"book","Build a fort out of old books"
"31",6,"cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24",0.68,"book","Donate books to your local library or hospital waiting room"
"32",6,"cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24",0.68,"book","Give a new twist to an old favorite by reading it in character voices"
"33",7,"cmpl-4zrXf5f89HctStj42UI8NCmMxujME",0.69,"book","doorstop"
"34",7,"cmpl-4zrXf5f89HctStj42UI8NCmMxujME",0.69,"book","start a fire"
"35",7,"cmpl-4zrXf5f89HctStj42UI8NCmMxujME",0.69,"book","paperweight"
"36",7,"cmpl-4zrXf5f89HctStj42UI8NCmMxujME",0.69,"book","prop up a wobbly table or chair"
"37",7,"cmpl-4zrXf5f89HctStj42UI8NCmMxujME",0.69,"book","weapon (for self-defense or attack)"
"38",8,"cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR",0.69,"book","doorstop"
"39",8,"cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR",0.69,"book","paperweight"
"40",8,"cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR",0.69,"book","prop up a wobbly table leg"
"41",8,"cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR",0.69,"book","make a small shelf or ledge"
"42",8,"cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR",0.69,"book","hold open a window or door"
"43",9,"cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7",0.69,"book","doorstop"
"44",9,"cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7",0.69,"book","level a table or shelf"
"45",9,"cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7",0.69,"book","paperweight"
"46",9,"cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7",0.69,"book","make a impromptu stool or chair"
"47",9,"cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7",0.69,"book","used in place of a cutting board when slicing vegetables or meat"
"48",10,"cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA",0.7,"book","doorstop"
