"id","response","response_nofill","item","item_nofill"
"cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf","doorstop","doorstop","book","book"
"cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf","start a fire","start a fire","book","book"
"cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf","prop up a table or chair leg","prop up a table or chair leg","book","book"
"cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf","paperweight","paperweight","book","book"
"cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf","make art such as by decoupaging it onto a canvas or","make art such as by decoupaging it onto a canvas or","book","book"
"cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr","door stop","door stop","book","book"
"cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr","start a fire","start a fire","book","book"
"cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr","prop up a table or chair leg","prop up a table or chair leg","book","book"
"cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr","paperweight","paperweight","book","book"
"cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr","make a collage or sculpture","make a collage or sculpture","book","book"
"cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr","can be","can be","book","book"
"cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x","door stop","door stop","book","book"
"cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x","prop up a table or chair leg","prop up a table or chair leg","book","book"
"cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x","paperweight","paperweight","book","book"
"cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x","make a collage or scrapbook","make a collage or scrapbook","book","book"
"cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x","cut up and used as confetti or streamers","cut up and used as confetti or streamers","book","book"
"cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV","doorstop","doorstop","book","book"
"cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV","start a fire","start a fire","book","book"
"cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV","paperweight","paperweight","book","book"
"cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV","prop up a wobbly table leg","prop up a wobbly table leg","book","book"
"cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV","coaster for drinks (to prevent water rings on furniture)","coaster for drinks (to prevent water rings on furniture)","book","book"
"cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05","doorstop","doorstop","book","book"
"cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05","hold open a window","hold open a window","book","book"
"cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05","coaster for a hot beverage","coaster for a hot beverage","book","book"
"cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05","level a table or shelf","level a table or shelf","book","book"
"cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05","used as an improvised weapon in self-defense or attack","used as an improvised weapon in self-defense or attack","book","book"
"cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24","Make a book into a lampshade","Make a book into a lampshade","book","book"
"cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24","Turn an old book into a secret compartment","Turn an old book into a secret compartment","book","book"
"cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24","Use books as coasters for your drinks","Use books as coasters for your drinks","book","book"
"cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24","Build a fort out of old books","Build a fort out of old books","book","book"
"cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24","Donate books to your local library or hospital waiting room","Donate books to your local library or hospital waiting room","book","book"
"cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24","Give a new twist to an old favorite by reading it in character voices","Give a new twist to an old favorite by reading it in character voices","book","book"
"cmpl-4zrXf5f89HctStj42UI8NCmMxujME","doorstop","doorstop","book","book"
"cmpl-4zrXf5f89HctStj42UI8NCmMxujME","start a fire","start a fire","book","book"
"cmpl-4zrXf5f89HctStj42UI8NCmMxujME","paperweight","paperweight","book","book"
"cmpl-4zrXf5f89HctStj42UI8NCmMxujME","prop up a wobbly table or chair","prop up a wobbly table or chair","book","book"
"cmpl-4zrXf5f89HctStj42UI8NCmMxujME","weapon (for self-defense or attack)","weapon (for self-defense or attack)","book","book"
"cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR","doorstop","doorstop","book","book"
"cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR","paperweight","paperweight","book","book"
"cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR","prop up a wobbly table leg","prop up a wobbly table leg","book","book"
"cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR","make a small shelf or ledge","make a small shelf or ledge","book","book"
"cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR","hold open a window or door","hold open a window or door","book","book"
"cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7","doorstop","doorstop","book","book"
"cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7","level a table or shelf","level a table or shelf","book","book"
"cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7","paperweight","paperweight","book","book"
"cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7","make a impromptu stool or chair","make a impromptu stool or chair","book","book"
"cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7","used in place of a cutting board when slicing vegetables or meat","used in place of a cutting board when slicing vegetables or meat","book","book"
"cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA","doorstop","doorstop","book","book"
"cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA","keep a table level","keep a table level","book","book"
"cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA","make a paperweight","make a paperweight","book","book"
"cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA","coaster for hot drinks","coaster for hot drinks","book","book"
"cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA","hold open a window or door","hold open a window or door","book","book"
"cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA","can be","can be","book","book"
"cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0","doorstop","doorstop","book","book"
"cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0","start a fire in an emergency situation","start a fire in an emergency situation","book","book"
"cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0","coaster for your beverage","coaster for your beverage","book","book"
"cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0","level a table or surface","level a table or surface","book","book"
"cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0","used as decoration on a shelf or mantelpiece","used as decoration on a shelf or mantelpiece","book","book"
"cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW","doorstop","doorstop","book","book"
"cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW","start a fire","start a fire","book","book"
"cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW","prop up a table","prop up a table","book","book"
"cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW","paperweight","paperweight","book","book"
"cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW","hold open a window","hold open a window","book","book"
"cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW","make a paper","make a paper","book","book"
"cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb","doorstop","doorstop","book","book"
"cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb","level a table or shelf","level a table or shelf","book","book"
"cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb","paperweight","paperweight","book","book"
"cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb","make a collage or scrapbook","make a collage or scrapbook","book","book"
"cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb","used as kindling for a fire","used as kindling for a fire","book","book"
"cmpl-4zrY43R3rQ3No2WeD92L3z2neSrOb","can","can","book","book"
"cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw","doorstop","doorstop","book","book"
"cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw","level a table or other surface","level a table or other surface","book","book"
"cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw","prop up a wobbly chair or couch","prop up a wobbly chair or couch","book","book"
"cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw","paperweight","paperweight","book","book"
"cmpl-4zrY7biIuR673z5KZea1gP4gUMbXw","door stop in an open doorway to help","door stop in an open doorway to help","book","book"
"cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu","doorstop","doorstop","book","book"
"cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu","level a table or shelf","level a table or shelf","book","book"
"cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu","paperweight","paperweight","book","book"
"cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu","keep papers from blowing away in the wind","keep papers from blowing away in the wind","book","book"
"cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu","make a small step stool","make a small step stool","book","book"
"cmpl-4zrYCltQ18NBmTUndQEolfNeRJhmu","book","book","book","book"
"cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG","doorstop","doorstop","book","book"
"cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG","prop up a wobbly table","prop up a wobbly table","book","book"
"cmpl-4zrYH49qGBQRZzNi4eQHpNxlQUABG","make a paper airplane","make a paper airplane","book","book"
