"id","item","response","respondent_id","gpt3_id","temperature"
1,"book","doorstop",1,"cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf",0.67
2,"book","start a fire",1,"cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf",0.67
3,"book","prop up a table or chair leg",1,"cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf",0.67
4,"book","paperweight",1,"cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf",0.67
5,"book","make art such as by decoupaging it onto a canvas or",1,"cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf",0.67
6,"book","door stop",2,"cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr",0.67
7,"book","start a fire",2,"cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr",0.67
8,"book","prop up a table or chair leg",2,"cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr",0.67
9,"book","paperweight",2,"cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr",0.67
10,"book","make a collage or sculpture",2,"cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr",0.67
11,"book","can be",2,"cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr",0.67
12,"book","door stop",3,"cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x",0.67
13,"book","prop up a table or chair leg",3,"cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x",0.67
14,"book","paperweight",3,"cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x",0.67
15,"book","make a collage or scrapbook",3,"cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x",0.67
16,"book","cut up and used as confetti or streamers",3,"cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x",0.67
17,"book","doorstop",4,"cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV",0.68
18,"book","start a fire",4,"cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV",0.68
19,"book","paperweight",4,"cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV",0.68
20,"book","prop up a wobbly table leg",4,"cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV",0.68
21,"book","coaster for drinks (to prevent water rings on furniture)",4,"cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV",0.68
22,"book","doorstop",5,"cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05",0.68
23,"book","hold open a window",5,"cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05",0.68
24,"book","coaster for a hot beverage",5,"cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05",0.68
25,"book","level a table or shelf",5,"cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05",0.68
26,"book","used as an improvised weapon in self-defense or attack",5,"cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05",0.68
27,"book","Make a book into a lampshade",6,"cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24",0.68
28,"book","Turn an old book into a secret compartment",6,"cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24",0.68
29,"book","Use books as coasters for your drinks",6,"cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24",0.68
30,"book","Build a fort out of old books",6,"cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24",0.68
31,"book","Donate books to your local library or hospital waiting room",6,"cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24",0.68
32,"book","Give a new twist to an old favorite by reading it in character voices",6,"cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24",0.68
33,"book","doorstop",7,"cmpl-4zrXf5f89HctStj42UI8NCmMxujME",0.69
34,"book","start a fire",7,"cmpl-4zrXf5f89HctStj42UI8NCmMxujME",0.69
35,"book","paperweight",7,"cmpl-4zrXf5f89HctStj42UI8NCmMxujME",0.69
36,"book","prop up a wobbly table or chair",7,"cmpl-4zrXf5f89HctStj42UI8NCmMxujME",0.69
37,"book","weapon (for self-defense or attack)",7,"cmpl-4zrXf5f89HctStj42UI8NCmMxujME",0.69
38,"book","doorstop",8,"cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR",0.69
39,"book","paperweight",8,"cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR",0.69
40,"book","prop up a wobbly table leg",8,"cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR",0.69
41,"book","make a small shelf or ledge",8,"cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR",0.69
42,"book","hold open a window or door",8,"cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR",0.69
43,"book","doorstop",9,"cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7",0.69
44,"book","level a table or shelf",9,"cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7",0.69
45,"book","paperweight",9,"cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7",0.69
46,"book","make a impromptu stool or chair",9,"cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7",0.69
47,"book","used in place of a cutting board when slicing vegetables or meat",9,"cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7",0.69
48,"book","doorstop",10,"cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA",0.7
49,"book","keep a table level",10,"cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA",0.7
50,"book","make a paperweight",10,"cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA",0.7
51,"book","coaster for hot drinks",10,"cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA",0.7
52,"book","hold open a window or door",10,"cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA",0.7
53,"book","can be",10,"cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA",0.7
54,"book","doorstop",11,"cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0",0.7
55,"book","start a fire in an emergency situation",11,"cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0",0.7
56,"book","coaster for your beverage",11,"cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0",0.7
57,"book","level a table or surface",11,"cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0",0.7
58,"book","used as decoration on a shelf or mantelpiece",11,"cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0",0.7
59,"book","doorstop",12,"cmpl-4zrY03WpMeCA0AmJeADkzuTSPggZW",0.7
