id,response,response_nofill,item,item_nofill,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,SemDis_factor
cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,1 A book can be used as a doorstop,book can used doorstop,book,book,0.88092,0.93752,0.91922,0.94685,0.78457,0.89382,-0.03191
cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,2 A book can be used to start a fire,book can used start fire,book,book,0.8374,0.85006,1.02593,1.11801,0.72839,0.91196,-0.18522
cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,3 A book can be used to prop up a table or chair leg,book can used prop table chair leg,book,book,0.91423,0.83571,1.16305,1.09636,0.81081,0.96403,-0.04284
cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,4 A book can be used as a paperweight,book can used paperweight,book,book,1.00223,0.99018,0.91188,1.01761,0.7314700000000001,0.93067,0.344
cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,5 A book can be used to make art such as by decoupaging it onto a canvas or,book can used make art decoupaging onto canvas,book,book,0.85588,0.96213,0.94578,1.09724,0.73693,0.91959,-0.13381
cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,1 A book can be used as a door stop,book can used door stop,book,book,0.74824,0.96666,0.99463,0.9346099999999999,0.73507,0.87584,-0.528
cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,2 A book can be used to start a fire,book can used start fire,book,book,0.8374,0.85006,1.02593,1.11801,0.72839,0.91196,-0.18522
cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,3 A book can be used to prop up a table or chair leg,book can used prop table chair leg,book,book,0.91423,0.83571,1.16305,1.09636,0.81081,0.96403,-0.04284
cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,4 A book can be used as a paperweight,book can used paperweight,book,book,1.00223,0.99018,0.91188,1.01761,0.7314700000000001,0.93067,0.344
cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,5 A book can be used to make a collage or sculpture,book can used make collage sculpture,book,book,1.06767,0.90036,0.89093,0.85878,0.79074,0.9017,0.60865
cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x,1 A book can be used as a door stop,book can used door stop,book,book,0.74824,0.96666,0.99463,0.9346099999999999,0.73507,0.87584,-0.528
cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x,2 A book can be used to prop up a table or chair leg,book can used prop table chair leg,book,book,0.91423,0.83571,1.16305,1.09636,0.81081,0.96403,-0.04284
cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x,3 A book can be used as a paperweight,book can used paperweight,book,book,1.00223,0.99018,0.91188,1.01761,0.7314700000000001,0.93067,0.344
cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x,4 A book can be used to make a collage or scrapbook,book can used make collage scrapbook,book,book,1.03389,0.96928,1.03386,0.92335,1.21672,1.03542,0.30188
cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x,5 A book can be cut up and used as confetti or streamers,book can cut used confetti streamers,book,book,0.9566,1.01445,1.14069,1.04706,1.25559,1.08288,-0.05291
cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV,1 A book can be used as a doorstop,book can used doorstop,book,book,0.88092,0.93752,0.91922,0.94685,0.78457,0.89382,-0.03191
cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV,2 A book can be used to start a fire,book can used start fire,book,book,0.8374,0.85006,1.02593,1.11801,0.72839,0.91196,-0.18522
cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV,3 A book can be used as a paperweight,book can used paperweight,book,book,1.00223,0.99018,0.91188,1.01761,0.7314700000000001,0.93067,0.344
cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV,4 A book can be used to prop up a wobbly table leg,book can used prop wobbly table leg,book,book,0.82925,1.03787,0.9316,1.10373,0.6935100000000001,0.91919,-0.24804
cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV,5 A book can be used as a coaster for drinks to prevent water rings on furniture,book can used coaster drinks prevent water rings furniture,book,book,0.92057,1.08889,0.90248,0.94379,0.78163,0.92747,0.01948
cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05,1 A book can be used as a doorstop,book can used doorstop,book,book,0.88092,0.93752,0.91922,0.94685,0.78457,0.89382,-0.03191
