rowid,id,gpt3_created,gpt3_model,engine,timestamp,temperature,presence_penalty,frequency_penalty,instr_text,aut_object
1,cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,1650649150,text-davinci:002,text-davinci-002,2022-04-22 19:39:12.749178,0.67,1,1,"What are some creative uses for a book? The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. List 9 creative uses for a book.",book
2,cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,1650649152,text-davinci:002,text-davinci-002,2022-04-22 19:39:16.329810,0.67,1,1,"What are some creative uses for a book? The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. List 9 creative uses for a book.",book
3,cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x,1650649156,text-davinci:002,text-davinci-002,2022-04-22 19:39:19.297886,0.67,1,1,"What are some creative uses for a book? The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. List 9 creative uses for a book.",book
4,cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV,1650649159,text-davinci:002,text-davinci-002,2022-04-22 19:39:22.982884,0.68,1,1,"What are some creative uses for a book? The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. List 9 creative uses for a book.",book
5,cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05,1650649163,text-davinci:002,text-davinci-002,2022-04-22 19:39:26.464734,0.68,1,1,"What are some creative uses for a book? The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. List 9 creative uses for a book.",book
6,cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24,1650649166,text-davinci:002,text-davinci-002,2022-04-22 19:39:31.786603,0.68,1,1,"What are some creative uses for a book? The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. List 9 creative uses for a book.",book
7,cmpl-4zrXf5f89HctStj42UI8NCmMxujME,1650649171,text-davinci:002,text-davinci-002,2022-04-22 19:39:36.700414,0.69,1,1,"What are some creative uses for a book? The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. List 9 creative uses for a book.",book
8,cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR,1650649176,text-davinci:002,text-davinci-002,2022-04-22 19:39:39.465660,0.69,1,1,"What are some creative uses for a book? The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. List 9 creative uses for a book.",book
9,cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7,1650649179,text-davinci:002,text-davinci-002,2022-04-22 19:39:43.865692,0.69,1,1,"What are some creative uses for a book? The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. List 9 creative uses for a book.",book
10,cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA,1650649184,text-davinci:002,text-davinci-002,2022-04-22 19:39:47.960895,0.7,1,1,"What are some creative uses for a book? The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. List 9 creative uses for a book.",book
