id,gpt3_id,gpt3_created,gpt3_model,engine,timestamp,temperature,presence_penalty,frequency_penalty,instr_nr,instr_text,aut_object,gpt3_response,snapshot_rater01,snapshot_rater02
1,cmpl-4x12GbiaiNER9hGa2G3o9Ary0wjki,1649970680,text-davinci:001,davinci-instruct-beta-v3,11:21.0,0.6,1,1,instr_2,"The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different.",paperclip,"

1. Hold papers together
2. Hang a picture on the wall
3. Use as a bookmark
4. Close a binder clip
5. Pick up a needle",3,
2,cmpl-4x12HqX2K5lmdAjfukNoFnEr2xGc5,1649970681,text-davinci:001,davinci-instruct-beta-v3,11:22.2,0.6,1,1,instr_2,"The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different.",book,"

1. Make a book into a lamp. The pages can be cut and folded to create a shade.
2. Use a book as the cover of a box or storage container.
3. Create a secret hiding place by hollowing out the pages of a book and using it as a safe deposit box",5,
3,cmpl-4x12Ii8M73rZewxgYLpAzOUheSWgE,1649970682,text-davinci:001,davinci-instruct-beta-v3,11:23.6,0.6,1,1,instr_2,"The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different.",fork,"

1. Eat soup: A fork can be used to eat soup by piercing the top of the lip of the bowl and then scooping up food with the fork. This is a neater way to eat soup than using a spoon.
2. Stab meat: A fork can be used as a utens",1,
4,cmpl-4x12JsgRAjVn6V2wxJyil8WjVhHhg,1649970683,text-davinci:001,davinci-instruct-beta-v3,11:25.1,0.6,1,1,instr_2,"The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different.",brick,"

1. Brick as a paperweight 
2. Brick as a doorstop 
3. Brick as a weight for training purposes (e.g., to increase the intensity of a workout) 
4. Brick as an ingredient in homemade cement or mortar mix 
5. Brick as an ornament",4,
5,cmpl-4x12LNN1elyPghVHLtsdhTcNEYzVV,1649970685,text-davinci:001,davinci-instruct-beta-v3,11:26.3,0.6,1,1,instr_2,"The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different.",tin can,"

1) Make a tin can telephone.
2) Use it as a container for fishing bait.
3) Transform it into a makeshift watering can.
4) Recycle it as a container for food storage.
5) Turn it into an improvised wind chime",2,
6,cmpl-4x12MzNKxoz6jdacMJScsSzcCmRs8,1649970686,text-davinci:001,davinci-instruct-beta-v3,11:28.0,0.75,1,1,instr_2,"The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different.",paperclip,"

1. A paperclip can be used to hold several sheets of paper together.
2. A paperclip can be turned into a bookmark.
3. A paperclip can be twisted into a small loop to use as a keychain ring.
4. A paperclip can be straightened out and",3,
7,cmpl-4x12Ob5IvfK4w0TbXIX5oQHHPZqvD,1649970688,text-davinci:001,davinci-instruct-beta-v3,11:29.2,0.75,1,1,instr_2,"The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different.",book,"

1. Share a book with someone to help them learn a new language.
2. Wrap a book in colorful paper and use it as a Christmas present.
3. Use a large book as a coffee table, side table, or kitchen countertop stool.
4. Tape several small books together to",3,
8,cmpl-4x12PeGeVxkdySIEkcwHu6dnUZtOA,1649970689,text-davinci:001,davinci-instruct-beta-v3,11:30.2,0.75,1,1,instr_2,"The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different.",fork,"

1) as a back scratcher
2) to open a tight jar lid
3) as a tool to mix ingredients while cooking 
4) to fluff up pillows or other soft items 
5) as the tines of a violin bow",5,
9,cmpl-4x12QJq0TU88osVE04h2wdfc9zSGx,1649970690,text-davinci:001,davinci-instruct-beta-v3,11:31.5,0.75,1,1,instr_2,"The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different.",brick,"

1. A brick can be used as a paperweight on a desk.
2. A brick can be used as a doorstop to keep a door open or closed.
3. A brick can be used as the sole weight for a small, makeshift dumbbell.
4. A brick can be",3,
10,cmpl-4x12RS02Hzluzz9TGPIT6QFi1MNVA,1649970691,text-davinci:001,davinci-instruct-beta-v3,11:32.9,0.75,1,1,instr_2,"The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different.",tin can,"

1. A tin can could be used as a drinking glass.
2. A tin can could be filled with sand and used as a doorstop.
3. A tin can could be cut into small pieces and used as confetti.
4. A tin can could be turned into a musical instrument",4,
