,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,item,response,response_id,object,respondent_id,temperature,eucl_item_resp,eucl_objc_resp,cos_dist_item_resp,cos_dist_objc_resp,semdis_prev
1368,1368,1368,1368,1369,chair,conductor,20172822,fork,BP20160000,,9.47991,9.907753,0.8481694757938385,0.9347328543663024,1.0
1369,1369,1369,1369,1370,chair,catapult,20172823,fork,BP20160000,,8.275051,8.26569,0.8442493677139282,0.8519542515277863,0.9845476513728499
1370,1370,1370,1370,1371,chair,keep elastic,20172824,fork,BP20160000,,9.093078,8.941148,0.8157409280538559,0.7954242080450058,0.8791209235787392
1371,1371,1371,1371,1372,chair,bobbin,20172825,fork,BP20160000,,9.251673,9.0035,0.8707857578992844,0.8320425599813461,0.6509333252906799
1372,1372,1372,1372,1373,chair,thumbtack substitute,20172826,fork,BP20160000,,10.181813,10.375311,0.8119733333587646,0.8502036482095718,0.8611046671867371
1373,1373,1373,1373,1374,chair,dart,20172827,fork,BP20160000,,8.066122,8.237364,0.7583568096160889,0.7995838969945908,0.7085175216197968
1374,1374,1374,1374,1375,chair,telepathy,20172828,fork,BP20160000,,9.735471,9.886205,0.997712101554498,1.0384646952152252,0.9267556741833687
1375,1375,1375,1375,1376,chair,goalpost,20172829,fork,BP20160000,,8.859659,8.855652,0.8777332007884979,0.8857231363654137,0.9133563786745071
1376,1376,1376,1376,1377,chair,flag,20172830,fork,BP20160000,,8.5811,8.431134,0.8185226917266846,0.7980221062898636,0.865631490945816
1106,1106,1106,1106,1107,chair,lever,20160005,fork,BP20160001,,8.605441,7.6373053,0.7451995015144348,0.5917595326900482,1.0
1107,1107,1107,1107,1108,chair,murder weapon,20160006,fork,BP20160001,,12.377033,12.312296,0.8548876792192459,0.8488648533821106,0.8366558104753494
1108,1108,1108,1108,1109,chair,bath toy,20160007,fork,BP20160001,,10.768834,12.283531,0.5763566792011261,0.7969908118247986,0.8076581060886383
1109,1109,1109,1109,1110,chair,make fire with it,20160008,fork,BP20160001,,8.258112,8.676458,0.7542940825223923,0.8410198390483856,0.6900487542152405
820,820,820,820,821,chair,plate,20160017,book,BP20160001,,8.40031,8.656324,0.7524318397045135,0.8442194312810898,0.7730237692594528
821,821,821,821,822,chair,send secret messages,20160018,book,BP20160001,,15.698642,14.121733,0.8911374732851982,0.6677673161029816,0.8653354495763779
822,822,822,822,823,chair,alternative for sex life,20160019,book,BP20160001,,14.210438,13.3940735,0.7540147304534912,0.6452427804470062,0.6056129336357117
823,823,823,823,824,chair,resell,20160020,book,BP20160001,,9.57159,8.470327,1.0104179745540025,0.837854266166687,0.9029047340154648
1377,1377,1377,1377,1378,chair,sound amplifier,20160029,tin can,BP20160001,,12.81136,12.757681,0.8392567783594131,0.8396602421998978,0.9357678666710854
1378,1378,1378,1378,1379,chair,pet,20160030,tin can,BP20160001,,8.491034,8.759281,0.7507333904504776,0.8158549964427948,0.9003479033708572
1379,1379,1379,1379,1380,chair,Pen holder,20160031,tin can,BP20160001,,10.687784,10.73022,0.6269902586936951,0.6382571458816528,0.6995781660079956
1380,1380,1380,1380,1381,chair,to throw,20160032,tin can,BP20160001,,7.66645,7.979908,0.705649346113205,0.7851627022027969,0.7125031054019928
1090,1090,1090,1090,1091,chair,make sure paper doesn't blow away,20167257,book,BP20160002,,15.381212,14.577134,0.6261488497257233,0.5160089731216431,1.0
1091,1091,1091,1091,1092,chair,bath toy,20167258,book,BP20160002,,10.768834,12.058377,0.5763566792011261,0.7785514444112778,0.5821796655654907
1092,1092,1092,1092,1093,chair,board,20167259,book,BP20160002,,6.526937,7.7721095,0.4949169158935547,0.749565452337265,0.734813779592514
1093,1093,1093,1093,1094,chair,cutting weapon,20167260,book,BP20160002,,11.005231,11.196934,0.7797845005989075,0.8368751108646393,0.7082661390304565
1094,1094,1094,1094,1095,chair,fuel in the fireplace,20167261,book,BP20160002,,12.095813,12.944808,0.7246988415718079,0.8770400732755661,0.6525618433952332
1095,1095,1095,1095,1096,chair,to read,20167262,book,BP20160002,,8.212921,5.070841,0.8621518760919571,0.3443890810012817,0.8285617381334305
1096,1096,1096,1096,1097,chair,send secret messages,20167263,book,BP20160002,,15.698642,14.121733,0.8911374732851982,0.6677673161029816,0.555033802986145
1097,1097,1097,1097,1098,chair,to throw,20167264,book,BP20160002,,7.66645,7.8195724,0.705649346113205,0.7840645462274551,0.6591652631759644
1098,1098,1098,1098,1099,chair,to the cycle,20167265,book,BP20160002,,8.911459,8.42679,0.8755897730588913,0.8291209787130356,0.8321394622325897
1099,1099,1099,1099,1100,chair,float,20167266,book,BP20160002,,8.324925,8.901683,0.7857717871665955,0.9536183066666126,0.8213453590869904
1100,1100,1100,1100,1101,chair,securing wobbly table,20167267,book,BP20160002,,10.872612,13.249848,0.4687707424163818,0.8119865655899048,0.6702587902545929
1101,1101,1101,1101,1102,chair,ruler,20167268,book,BP20160002,,9.517183,9.349526,0.8676999509334564,0.8791647031903267,0.7575104385614395
1102,1102,1102,1102,1103,chair,yoga stone,20167269,book,BP20160002,,11.26609,11.303428,0.6872670352458954,0.7090851366519928,0.827936053276062
1103,1103,1103,1103,1104,chair,scrap paper,20167270,book,BP20160002,,11.255698,10.488255,0.7049023509025574,0.607561469078064,0.78982113301754
1104,1104,1104,1104,1105,chair,roof tile,20167271,book,BP20160002,,11.837163,13.199387,0.6817272305488586,0.9128192365169524,0.6780357956886292
1105,1105,1105,1105,1106,chair,raise something,20167272,book,BP20160002,,7.831528,7.855204,0.7461487054824829,0.8022417426109314,0.7856890261173248
1627,1627,1627,1627,1628,chair,pool for ants,20167305,tin can,BP20160002,,11.103235,11.368985,0.7416326105594635,0.7915087640285492,0.763507753610611
1628,1628,1628,1628,1629,chair,pen holder,20167306,tin can,BP20160002,,10.687784,10.73022,0.6269902586936951,0.6382571458816528,0.8288933634757996
1629,1629,1629,1629,1630,chair,tab off,20167307,tin can,BP20160002,,9.065214,8.753771,0.8903498873114586,0.848686546087265,0.7480736374855042
1630,1630,1630,1630,1631,chair,camera tripod,20167308,tin can,BP20160002,,12.821516,13.565787,0.7109701335430145,0.8284574896097183,0.8813638314604759
1631,1631,1631,1631,1632,chair,ice hockey puck,20167309,tin can,BP20160002,,18.852345,19.444567,0.759351834654808,0.8491961658000946,0.8304448127746582
1632,1632,1632,1632,1633,chair,magnet testing,20167310,tin can,BP20160002,,11.218103,10.638987,0.8602505922317505,0.7770360559225082,0.7951880097389221
1633,1633,1633,1633,1634,chair,collect,20167311,tin can,BP20160002,,8.607607,7.628737,0.8934225887060165,0.7179981172084808,0.730144202709198
1634,1634,1634,1634,1635,chair,stacking,20167312,tin can,BP20160002,,7.915011,8.124936,0.7026442289352417,0.757866308093071,0.8104637265205383
1635,1635,1635,1635,1636,chair,hat,20167313,tin can,BP20160002,,8.043305,7.627895,0.7079449594020844,0.6511243879795074,0.8494121432304382
1636,1636,1636,1636,1637,chair,from drinking,20167314,tin can,BP20160002,,8.693375,8.552671,0.7897647023200989,0.7806542813777924,0.7931032180786133
1637,1637,1637,1637,1638,chair,wallpaper,20167315,tin can,BP20160002,,8.981015,8.812118,0.824208214879036,0.8099028021097183,0.8935333788394928
1638,1638,1638,1638,1639,chair,rolls,20167316,tin can,BP20160002,,8.034032,7.797247,0.765450045466423,0.7389641106128693,0.8811482861638069
1639,1639,1639,1639,1640,chair,money box,20167317,tin can,BP20160002,,9.982292,9.1498165,0.6949276626110077,0.580835223197937,0.6546550095081329
1640,1640,1640,1640,1641,chair,seat cover,20167318,tin can,BP20160002,,8.773678,11.35875,0.4225339889526367,0.7847899943590164,0.5757189393043518
1641,1641,1641,1641,1642,chair,reflector on bicycle,20167319,tin can,BP20160002,,11.037926,11.0755415,0.7296988666057587,0.7434948682785034,0.5975044369697571
1642,1642,1642,1642,1643,chair,ashtray,20167320,tin can,BP20160002,,8.091651,7.538617,0.7171624898910522,0.6365853548049927,0.6906620562076569
1110,1110,1110,1110,1111,chair,file,20160038,fork,BP20160007,,9.647236,9.349484,0.8852892369031906,0.8380794674158096,1.0
1111,1111,1111,1111,1112,chair,printing press,20160039,fork,BP20160007,,11.763331,12.136341,0.7761372774839401,0.838177040219307,0.6658425629138947
1112,1112,1112,1112,1113,chair,to break in,20160040,fork,BP20160007,,7.522477,7.365495,0.7467795014381409,0.7240270972251892,0.7514477670192719
1113,1113,1113,1113,1114,chair,break someone's hand,20160041,fork,BP20160007,,8.705261,9.123574,0.5767074525356293,0.6407828032970428,0.15890812873840332
1114,1114,1114,1114,1115,chair,start a revolution,20160042,fork,BP20160007,,10.567038,10.43586,0.8051322996616364,0.788763090968132,0.4418100118637085
824,824,824,824,825,chair,file,20160053,book,BP20160007,,9.647236,9.245632,0.8852892369031906,0.8528712689876556,0.8011742234230042
825,825,825,825,826,chair,printing press,20160054,book,BP20160007,,11.763331,10.754546,0.7761372774839401,0.6418191492557526,0.6658425629138947
826,826,826,826,827,chair,to break in,20160055,book,BP20160007,,7.522477,7.207378,0.7467795014381409,0.7379558682441711,0.7514477670192719
